# 20250215
callsign,member_id,valid_from,valid_to
DK4LX,18,,
DL7DO,24,,
DJ2YA,25,,
DK1WU,27,,
DL2KS,28,,
DK5ZW,38,,
DL8KAZ,42,,
DK2VA,43,,
DK3SN,52,,
DK3YD,62,,
DJ4UF,63,,
DJ9ON,66,,
OE2SNL,67,,
DK3QH,68,,
DK4KK,70,,
DK5SF,73,,
DK3AX,74,,
DK9SK,75,,
DK5SI,81,,
DL8MW,89,,
DK2DX,91,,
DK5PD,93,,
DL8IH,95,,
DJ8UU,96,,
DK4YF,99,,
DK5JI,104,,
AA0RM,104,,
DK4CJ,113,,
DJ7OM,134,,
DK7GL,147,,
DK5HH,150,,
DJ6CB,152,,
DL1CF,153,,
OH2BN,155,,
DK5KE,158,,
DK5WL,166,,
DK5WM,170,,
DK3UM,175,,
DL2JX,179,,
DK8SR,183,,
DJ4EJ,189,,
DK8KD,196,,
OE5GM,201,,
OK2FD,206,,
OK2BCH,207,,
DK7RW,219,,
OE1TKW,221,,
DK5PZ,225,,
YO4ASG,233,,
OK2PEN,237,,
HL5AP,242,,
ON6GC,243,,
YO4WO,245,,
DJ6TK,250,,
DK3NG,251,,
DK6SX,252,,
9A2QK,261,,
ON5FU,262,,
OK1MNV,263,,
JA4DBQ,265,,
G4CBC,271,,
JA8PMF,272,,
ON4QY,274,,
DK1RB,275,,
OK1YR,283,,
OK1MIZ,284,,
DK8HU,286,,
DK6OX,289,,
SWL-DL,301,,
DJ2VT,304,,
IT9LPG,319,,
DK7DO,346,,
DK7DC,351,,
HA8DZ,353,,
DK9TZ,354,,
OK1RR,355,,
DF2BP,356,,
G3RSP,366,,
LA9UH,370,,
YO4PZ,371,,
ZS1JC,373,,
LX1DE,378,,
VK6RQ,381,,
DU1GQ,383,,
DK7BA,388,,
DF7FE,394,,
DK9OY,395,,
DJ4JY,396,,
OK1LV,398,,
DF2RQ,401,,
OM3YCA,405,,
HA5BA,406,,
DJ6UX,408,,
DK3PY,409,,
F6EDO,420,,
DL7VT,429,,
DL7WB,430,,
HA8UT,431,,
YU1RS,432,,
HB9AFZ,435,,
HB9BLQ,438,,
HB9ALM,439,,
HB9ALO,440,,
HB9AOW,443,,
HB9ALL,447,,
HB9AFH,450,,
YT7MUV,453,,
DK9PS,454,,
YU7NP,456,,
DJ0IP,462,,
NJ0IP,462,,
G5BMH,462,,
DK8JP,467,,
DF5LS,470,,
LZ1UA,473,,
4X1OZ,475,,
4Z4KX,476,,
I2BWW,485,,
I2XIQ,486,,
DF5DD,489,,
DJ9CB,496,,
DL7YS,499,,
RA6AR,504,,
DL4NO,507,,
DK2DO,510,,
DF6NN,511,,
HA7MW,514,,
DK5XF,517,,
UA6AX,519,,
DL7TZ,521,,
9V1CR,521,,
DF4PA,523,,
9A2EE,527,,
JH3XCU,528,,
HB9BQL,531,,
DF3EC,537,,
DF3EK,538,,
DK9TV,540,,
DL5NO,544,,
DF5MD,546,,
DJ6PC,551,,
OE3JAG,552,,
DL8BS,558,,
G4FZS,559,,
DF6NL,561,,
G3GHY,564,,
G4ETJ,566,,
DK5TS,567,,
DF5DT,572,,
DF6XI,576,,
G4DRS,591,,
DL2FAK,596,,
OM0CD,598,,
DF8NO,601,,
DK8IT,603,,
DL1FAV,604,,
DF8FE,609,,
DK9PL,613,,
OE7WBJ,615,,
DF7DC,618,,
DF5EY,619,,
DF7VF,621,,
VK5TI,628,,
I5SKK,629,,
DK2DL,633,,
DF7KD,635,,
DF6DU,639,,
DF3IC,644,,
SM3BP,646,,
DF3ID,654,,
YO9HP,658,,
DF5JS,660,,
DF6XE,662,,
DF3YK,663,,
DJ6NS,667,,
SM6AWA,669,,
DF1OY,670,,
DK7AU,673,,
DF4IE,676,,
DF9ZV,684,,
DJ6ZC,686,,
DJ6ZB,687,,
HB9BYU,702,,
HB9BZM,703,,
HB9BUU,704,,
HB9AJU,707,,
HB9AYZ,708,,
HB9BOX,709,,
HB9BAH,712,,
HB9ANC,713,,
HB9BUT,715,,
HB9BYY,716,,
DL9DAK,721,,
N9DAK,721,,
DL3RAD,723,,
DF3OA,726,,
ON6CP,734,,
DF6EX,738,,
SWL-G,746,,
DF7DJ,751,,
DL6NAF,752,,
DL4FAP,756,,
HB9CAT,760,,
HB9BPN,761,,
I1OUE,763,,
HB9PF,765,,
HB9BYW,766,,
HB9BUJ,767,,
HB9BWT,769,,
HB9BZX,771,,
HB9BVW,773,,
DF9QG,775,,
DL5BAG,777,,
DF7AL,778,,
DL1FAM,785,,
DF1NY,788,,
DL3MBE,791,,
DL4AO,793,,
DF6CA,795,,
DF4PD,808,,
DL1BAV,812,,
DL9SJ,814,,
DL5LH,816,,
G4JFN,817,,
DL2OM,818,,
DL4LF,819,,
DJ7JE,821,,
DJ1BC,824,,
SP1DPA,827,,
DF6NW,829,,
SP5LGQ,833,,
SP2B,835,,
DL9MBZ,836,,
DL2YBG,837,,
DF2RG,838,,
PA2SAM,839,,
SP1ADM,841,,
DJ3TF,845,,
SP9ADU,846,,
SP2EFU,849,,
SP7IFM,850,,
SP7IIT,851,,
SP7AW,852,,
DF7MQ,855,,
SP5GIQ,856,,
DF2CQ,862,,
DL5MAM,865,,
OE3KAB,866,,
DF1II,868,,
DJ7YM,869,,
DL4FDM,870,,
HB9CSA,870,,
DL3HAH,871,,
DL5NAV,879,,
DF6IA,880,,
JH8DEH,883,,
DF4XG,885,,
SA6DXG,885,,
SP5LXR,887,,
DF2YJ,888,,
EA2SN,889,,
YO6HQ,891,,
DJ7IT,893,,
PA3ARM,895,,
DL1GBZ,897,,
OK1FIM,898,,
HB9CFU,907,,
HB9AIY,908,,
PG7V,909,,
PA0MUN,912,,
YO6VZ,916,,
ON4CW,918,,
SP9BRP,919,,
DF4XB,922,,
DF1XC,925,,
PA2WJZ,927,,
DF7NX,930,,
DL3SAB,931,,
DF4DO,935,,
DJ8VC,936,,
PY1EWN,944,,
PY1BVY,945,,
DL6BAI,947,,
DF7PX,948,,
XE1XF,951,,
DH1FAV,954,,
DF5TV,955,,
ON6QE,956,,
LA4XX,957,,
ON7GO,959,,
DL1BAT,962,,
DF3ZE,965,,
DF8DL,975,,
DL4DX,987,,
DF9NG,989,,
HS0ZIL,992,,
DL2LAH,992,,
G4ISK,995,,
DJ5QW,996,,
DL6YBQ,998,,
DK0AG,999,,
DL1HBT,1008,,
DB6DX,1013,,
PY2MC,1018,,
DL6ZAM,1023,,
PY1DEA,1033,,
DF3XZ,1043,,
DJ7AO,1044,,
OE7TIR,1044,,
OE8TIR,1044,,
HA8AR,1046,,
PY1DWM,1047,,
DL3KAG,1048,,
DF2FA,1053,,
DL9EE,1055,,
DF2SX,1056,,
PA5JS,1062,,
EA3AQS,1063,,
DF3UU,1064,,
DL8QS,1068,,
DL5NAI,1070,,
LA7ZU,1071,,
DK2YI,1074,,
PA3BNT,1078,,
OE6HAD,1083,,
PY1TG,1091,,
PY1EBK,1092,,
IN3NJB,1093,,
DL4NAC,1094,,
DK7HP,1098,,
G4VDK,1099,,
DF3WX,1100,,
DJ8GR,1103,,
DL5YCI,1105,,
DF2NT,1110,,
DF0ACW,1111,,
OK1DRQ,1117,,
DL3MCK,1119,,
DJ1SJ,1120,,
OE5MSM,1122,,
DL6MAA,1124,,
DL5GBG,1126,,
DJ8HB,1129,,
DL6OAA,1136,,
ON4KJM,1137,,
OE7THJ,1138,,
DL8MBN,1139,,
DL8MBU,1146,,
DL8HAV,1150,,
PY5BYC,1159,,
PY1DUB,1160,,
DL3YM,1163,,
PY1AZ,1165,,
DF1BN,1166,,
OK2BMA,1172,,
WE6V,1173,,
DJ9RT,1174,,
DL3BBY,1175,,
PY1QN,1181,,
DF2OF,1183,,
DF1BT,1184,,
DF9YW,1189,,
DL4NBV,1193,,
DK1IZ,1198,,
OK2BWT,1206,,
KD9FB,1211,,
DL4KAV,1220,,
DF4ZL,1221,,
DL4BBE,1222,,
DL5KX,1224,,
DF4WA,1225,,
DM1BM,1226,,
DL1LAF,1235,,
DC4LV,1236,,
JH2QFI,1242,,
