# 20230419
callsign,member_id,valid_from,valid_to
2E0OBO,2381,,
3B9FR,1343,,
3D2AG,2554,,
3W9T,1707,,
4K0CW,1678,,
4X4NJ,275,,
4X4PP,1442,,
4X6FB,3121,,
4X6GP,5,,
4X6KF,659,,
4Z1BC,2852,,
4Z1DX,175,,
4Z1UF,636,,
4Z4DX,175,,
5B4AQC,2588,,
5T0AA,1852,,
5Z4ZK,55,,
6Y2T,21,,
7J1ABD,1176,,
7Q7M,2275,,
7X2TT,2344,,
7X3DA,1676,,
8P9AA,21,,
8P9AL,969,,
8P9NX,503,,
9A1AA,2447,,
9A2AJ,2506,,
9A3SM,3098,,
9A3XV,2590,,
9A4MX,2801,,
9A5KVU,1247,,
9A5MX,2697,,
9A7R,1482,,
9A9CW,2576,,
9N7AA,492,,
9N7DX,175,,
9V1VV,678,,
9V1YC,66,,
A61AD,2,,
AA0FO,1532,,
AA0IZ,2943,,
AA0O,2626,,
AA0RS,2222,,
AA0YY,2809,,
AA1K,2055,,
AA1V,53,,
AA2AD,2162,,
AA2IL,3177,,
AA2ZW,937,,
AA3B,242,,
AA3QF,2593,,
AA3R,3181,,
AA4BI,2865,,
AA4CF,1389,,
AA4FU,1121,,
AA4GA,973,,
AA4LS,2133,,
AA4MC,2332,,
AA4NN,354,,
AA4NP,1954,,
AA4V,1867,,
AA5AD,2366,,
AA5BG,454,,
AA5CF,2680,,
AA5JF,2751,,
AA5ND,3248,,
AA5W,1826,,
AA5WZ,3221,,
AA6MK,1909,,
AA6PM,3062,,
AA6W,2311,,
AA6XA,2118,,
AA7AZ,3205,,
AA7FV,1578,,
AA7ST,2263,,
AA7TQ,2959,,
AA8IA,966,,
AA8R,2214,,
AA8TA,1821,,
AA9A,1092,,
AA9H,2756,,
AA9K,1006,,
AA9RK,3173,,
AA9SN,2622,,
AA9WJ,2942,,
AA9WP,3252,,
AB0DK,1932,,
AB0S,1857,,
AB0TX,2507,,
AB1BX,2191,,
AB1CW,1117,,
AB1GJ,161,,
AB2E,1305,,
AB4PP,2572,,
AB5EB,2115,,
AB5M,2738,,
AB6BR,3089,,
AB6UR,2315,,
AB6XG,1754,,
AB6Z,1664,,
AB7MP,1350,,
AB7RW,2249,,
AB8RL,3287,,
AB9YC,1249,,
AC0E,2780,,
AC0VM,3054,,
AC0W,1564,,
AC1FE,783,,
AC2FA,1026,,
AC2KJ,1376,,
AC3RA,3300,,
AC4BT,1148,,
AC4DP,2793,,
AC5K,54,,
AC5XK,2989,,
AC6AC,1911,,
AC6YY,1244,,
AC6ZM,2419,,
AC7JW,627,,
AC7T,822,,
AC8RG,2843,,
AC8W,695,,
AC9EZ,2342,,
AD0AB,2114,,
AD0IU,864,,
AD0WE,2167,,
AD1C,131,,
AD4EB,867,,
AD4ES,2044,,
AD4J,1144,,
AD4N,2679,,
AD4S,487,,
AD4TA,3292,,
AD4TJ,1960,,
AD4UM,2765,,
AD5A,1415,,
AD5MT,2602,,
AD6E,217,,
AD6JV,1719,,
AD7I,2946,,
AD8CW,412,,
AD8J,1395,,
AD8WR,2857,,
AD9AC,3321,,
AE0P,1051,,
AE0Q,2878,,
AE0SO,3225,,
AE1T,1404,,
AE2DB,2922,,
AE2U,869,,
AE4QQ,1625,,
AE4Y,2002,,
AE6Y,38,,
AE7EU,2725,,
AE7US,1781,,
AF1E,2605,,
AF1Z,258,,
AF2F,3097,,
AF3K,2186,,
AF4NC,1521,,
AF4QK,2746,,
AF4T,2675,,
AF5CC,1675,,
AF5DM,1205,,
AF5J,2749,,
AF5Q,1805,,
AF7MM,3049,,
AF8A,2092,,
AF9W,1173,,
AG3I,2579,,
AG3R,467,,
AG4EA,2373,,
AG5M,1747,,
AG5QX,2401,,
AG5ZN,3328,,
AG6V,911,,
AG6WJ,2165,,
AG7TX,2861,,
AG9A,641,,
AH0U,1825,,
AH6AA,1949,,
AH6KO,1794,,
AH6RE,830,,
AH6VV,2300,,
AH7RF,3272,,
AI0Y,3254,,
AI3A,3053,,
AI4YG,2632,,
AI6O,1337,,
AI6V,2242,,
AI6W,3184,,
AI7DK,3296,,
AJ1AJ,3084,,
AJ1DM,1973,,
AJ4HP,1467,,
AJ6AN,2860,,
AJ6CL,2597,,
AJ6CU,2931,,
AJ6DU,2269,,
AJ6ET,2935,,
AJ6GI,2465,,
AJ8B,1567,,
AK0A,3217,,
AK4AO,2145,,
AK4AT,2391,,
AK4NY,1544,,
AK4SQ,1296,,
AL1G,2161,,
AO1AAW,714,,
BA1RB,564,,
BA4TB,259,,
BH4EPL,2297,,
C6AQQ,302,,
C6AUM,1182,,
C6AYW,2289,,
C6AZM,2419,,
CE2LR,2281,,
CE3CT,2837,,
CN8YR,1656,,
CO2IR,1147,,
CO6RD,1898,,
CO8NMN,2082,,
CO8ZZ,1682,,
CR6K,2699,,
CT1BOH,837,,
CT1DRB,430,,
CT1ILT,2699,,
CT7/K9PM,2573,,
CT7AGZ,2126,,
CU3AA,1804,,
CX6VM,525,,
CX7CW,570,,
CX7TT,518,,
DD5KG,2471,,
DD5XX,2354,,
DD7CW,2587,,
DF1PY,2502,,
DF4ZL,2707,,
DF7TV,2613,,
DF9TF,2493,,
DG5CW,3243,,
DJ0MCH,409,,
DJ1OJ,425,,
DJ2MX,2801,,
DJ3CQ,2969,,
DJ4MX,2697,,
DJ5CW,1566,,
DJ7AO,2254,,
DJ7UC,2575,,
DJ8GE,2546,,
DJ9BM,3154,,
DK1WI,1602,,
DK3WW,2523,,
DK4LX,802,,
DK4RW,3159,,
DK5AX,1812,,
DK5KK,1965,,
DK6SP,2588,,
DK7PE,2864,,
DK8SR,2539,,
DK9HE,2553,,
DK9PY,2062,,
DL1FY,2636,,
DL1IAO,1884,,
DL1NKB,2486,,
DL1NKS,2963,,
DL1QQ,1581,,
DL1REM,2382,,
DL2CC,511,,
DL2NEW,3126,,
DL2OE,2735,,
DL3AZ,982,,
DL3DXX,1164,,
DL3TM,2921,,
DL3YM,2520,,
DL4FDM,1084,,
DL4FO,2484,,
DL4KG,2501,,
DL5AXX,1517,,
DL5CW,2677,,
DL5DBY,1751,,
DL5JQ,2376,,
DL5RMH,2779,,
DL5XL,2268,,
DL6KVA,1678,,
DL6RAI,2776,,
DL8BH,2596,,
DL8HK,2829,,
DL8PG,833,,
DL8TG,2524,,
DL9ABM,1922,,
DM1TT,333,,
DM4CW,1870,,
DM5EE,2470,,
DM6EE,2654,,
DO4DXA,1851,,
DO6AN,3141,,
DU3LA,644,,
E21EIC,264,,
E25KAE,3284,,
E29TGW,3285,,
E71A,484,,
E73DX,2801,,
E73T,2506,,
EA1WX,714,,
EA1X,2562,,
EA2AJB,1048,,
EA2KV,2845,,
EA3/K1MM,43,,
EA3FZT,2560,,
EA3HSO,2132,,
EA3IEB,3309,,
EA3IGR,3310,,
EA3M,3229,,
EA4BB,2981,,
EA4M,1070,,
EA4OR,2218,,
EA5FID,2977,,
EA5IUY,2508,,
EA5KA,1512,,
EA5KO,2545,,
EA5M,2979,,
EA5XQ,3303,,
EA6BF,3072,,
EA6EJ,3276,,
EA7EGU,2505,,
EA7JW,1933,,
EA8A,1063,,
EA8BMG,1063,,
EA8CN,265,,
EA8DNT,2178,,
EA8KW,1565,,
EA8OM,425,,
EA8ZS,907,,
EA9/AC6ZM,2419,,
EF8M,536,,
EF8N,265,,
EF8O,425,,
EI2CN,1503,,
EI2IM,55,,
EI2KU,3319,,
EI4BZ,3224,,
EI5LA,3163,,
EI6FR,2811,,
EI6KT,2965,,
EI6LA,3194,,
EI8KW,3225,,
EY8MM,815,,
F5IYJ,1842,,
F5MNK,1291,,
F5NZY,1528,,
F5PBL,2326,,
F5PLC,2370,,
F5SGI,2532,,
F5VJC,2142,,
F5VV,1885,,
F6AXX,2428,,
F6BCW,2818,,
F6CEL,1876,,
F6HKA,1088,,
F6JOE,1091,,
F8DGY,3213,,
F8FQX,1755,,
F8FSN,2610,,
FG8NY,1091,,
G0CKP,2451,,
G0DJA,266,,
G0ELZ,239,,
G0HFL,3209,,
G0JPS,2080,,
G0LLX,2954,,
G0MFR,2490,,
G0MGM,1771,,
G0OOD,2941,,
G0OOR,2971,,
G0TPH,2956,,
G0UYG,2453,,
G0WCZ,1983,,
G2CWO,20000,,
G2JL,32,,
G3BA,618,,
G3LDI,1843,,
G3LHJ,3048,,
G3NKC,449,,
G3SVK,1357,,
G3SYS,1578,,
G3SZU,2784,,
G3TXF,166,,
G3UNA,509,,
G3WGN,482,,
G3WRJ,2209,,
G3WW,3307,,
G3WZD,1979,,
G3XLG,1365,,
G3XTT,1874,,
G3YJQ,1378,,
G3YLA,2015,,
G3YXX,493,,
G3ZYV,356,,
G4AXX,1057,,
G4BSW,2083,,
G4BUE,1294,,
G4CCX,2003,,
G4CPA,1149,,
G4DJX,3083,,
G4DYC,2116,,
G4E,1294,,
G4FAD,547,,
G4HLN,3073,,
G4HZE,2753,,
G4HZV,1636,,
G4ILW,1729,,
G4IRN,268,,
G4IZZ,2511,,
G4KLE,3283,,
G4KQY,2987,,
G4LPP,2547,,
G4NVR,1583,,
G4PFZ,2777,,
G4PIQ,2767,,
G4PVM,2413,,
G4RCG,2379,,
G4RMV,1614,,
G4RQI,3289,,
G4RTJ,2940,,
G4RWD,2126,,
G4SMB,2700,,
G4UZE,2641,,
G4VIW,2586,,
G4WQI,3078,,
G4XUM,569,,
G5CL,422,,
G5VZ,2877,,
G7KSE,3212,,
G7VJR,968,,
GD0OUD,1829,,
GD4EIP,2187,,
GI2CWO,20001,,
GI4CFQ,765,,
GM0EPO,1974,,
GM0EUL,1899,,
GM2CWO,20002,,
GM2V,2436,,
GM3JOB,2204,,
GM3WOJ,2436,,
GM3WUX,2826,,
GM4JPZ,2537,,
GQ0IPX,2877,,
GQ3WZD,1979,,
GU4CHY,1543,,
GW0ETF,919,,
GW0KRL,2896,,
GW2CWO,20003,,
GW3KGV,171,,
GW3YDX,100,,
GW4J,919,,
GW4MM,2755,,
GW4OKT,1952,,
GW4VXE,2755,,
GW7APP,2896,,
GW7N,2178,,
HA0NAR,2172,,
HA5AO,1522,,
HA5JI,538,,
HA5MA,3286,,
HA5NR,2471,,
HA9RC,2766,,
HA9RT,1213,,
HB0/HB9CVQ,219,,
HB9AJP,3269,,
HB9AJY,2672,,
HB9ARF,1354,,
HB9AUK,2593,,
HB9BJL,2541,,
HB9CSA,1084,,
HB9CVQ,219,,
HB9DAQ,2592,,
HB9DAX,687,,
HB9DDZ,2442,,
HB9DHG,2889,,
HB9DQJ,2747,,
HB9DQL,2582,,
HB9EGA,2047,,
HB9FIR,598,,
HB9HSX,3298,,
HG0A,538,,
HK3CQ,888,,
HP1XT,518,,
HS0ZCK,339,,
HS0ZDJ,751,,
I0GOJ,602,,
I0YQX,1746,,
I2IFT,2704,,
I2RTF,621,,
I2WIJ,2406,,
I5ECW,1679,,
I5EFO,1486,,
I8NHJ,24,,
I8QFK,2769,,
IB1I,2632,,
IK0HBN,617,,
IK0NOJ,1732,,
IK0XCB,598,,
IK0XFD,1570,,
IK0YGJ,574,,
IK0YVV,1505,,
IK1HGE,2632,,
IK1WNO,2525,,
IK1YRA,2866,,
IK3VUT,3241,,
IK3YBX,2563,,
IK5VLL,1545,,
IK7UKF,2762,,
IN3FHE,1548,,
IS0AFM,692,,
IS0FQK,3316,,
IT9/AC6ZM,2419,,
IT9BLB,2138,,
IT9CKA,2584,,
IT9MUO,1569,,
IT9SSI,2137,,
IT9VDQ,1538,,
IW2MXE,2165,,
IW5EFO,1574,,
IZ2FME,2151,,
IZ3ASA,3088,,
J68PG,255,,
J75Y,817,,
JA1GQC,1204,,
JA1GZV,1014,,
JA1LZR,1010,,
JA1NUT,15,,
JA3AVO,1200,,
JA4IIJ,733,,
JA4MRL,269,,
JA5DQH,777,,
JA8CDG,161,,
JE1TRV,141,,
JF1UOX,3011,,
JF3KNW,394,,
JH1GNU,713,,
JH1JDI,1199,,
JI1RXQ,2223,,
JI3CJP,1140,,
JJ1BDX,384,,
JJ1FXF,2898,,
JJ5GVY,3219,,
JK1HGF,1140,,
JK1JHB,879,,
JL1GEL,1202,,
JL1IRB,420,,
JL8KUS,1179,,
JN1THL,161,,
JS2AHG,141,,
JT4RR,1820,,
K0AD,138,,
K0AF,2990,,
K0ALT ,3118,,
K0AP,370,,
K0AV,1129,,
K0CA,903,,
K0DEQ,1683,,
K0DTJ,717,,
K0DXC,152,,
K0EJ,2016,,
K0EX,667,,
K0FG,1893,,
K0FUZ,2796,,
K0FX,1326,,
K0GUZ,1889,,
K0HB,231,,
K0HD,2968,,
K0HX,1721,,
K0INN,1704,,
K0IR,519,,
K0JP,1047,,
K0KG,1401,,
K0LUZ,956,,
K0MD,305,,
K0MP,1736,,
K0MVB,2649,,
K0NAR,2172,,
K0NM,1430,,
K0ODF,2252,,
K0PC,947,,
K0PD,2035,,
K0PFX,271,,
K0PGE,1712,,
K0PK,2233,,
K0RC,3290,,
K0RF,887,,
K0SN,1344,,
K0TC,1421,,
K0TG,1830,,
K0TI,2836,,
K0TQ,2434,,
K0UK,1154,,
K0VBU,844,,
K0VW,2098,,
K0VXU,836,,
K0WA,1859,,
K0XQ,1844,,
K0YL,1831,,
K0ZR,1533,,
K0ZU,1880,,
K0ZX,463,,
K1AJ,212,,
K1APJ,2466,,
K1AQB,1708,,
K1AR,1741,,
K1ARR,2844,,
K1AY,2405,,
K1BG,1276,,
K1BZ,1958,,
K1CHM,1900,,
K1CP,168,,
K1CTR,2339,,
K1DG,817,,
K1DJ,1556,,
K1DW,326,,
