# 20240605
callsign,member_id,valid_from,valid_to
G4ZUL,1,,
G0IBN,2,,
G3GLL,4,,
G0DVJ,5,,
M0NRH,6,,
MI0NJP,7,,
G5CL,9,,
KD4KYM,10,,
GD0OUD,11,,
M5AKA,12,,
IK0IXI,13,,
G0GGM,14,,
K5EST,15,,
W5XE,16,,
G4PNF,17,,
G0TMX,18,,
M0IAH,20,,
YV4AZ,21,,
M1OCN,22,,
PA3JD,23,,
HB9DHG,24,,
M0XDF,25,,
G3LET,27,,
G4LMW,28,,
VQ9JC,30,,
ND9M,30,,
MW0EQL,31,,
G3PJT,32,,
G3VTT,33,,
K9QVB,34,,
G4GOY,38,,
G3ZRJ,39,,
G0PZA,40,,
2E0LQR,41,,
G0MHC,43,,
G0PEH,44,,
GW0IRP,45,,
G0SSG,46,,
G4RBP,47,,
F5VHC,48,,
G3XEK,49,,
G0ELZ,50,,
KA0IQT,51,,
G0LWI,52,,
G4AJY,53,,
2M0DXR,54,,
G3ICH,55,,
GW0JLX,56,,
GI4SRQ,57,,
G4FAD,58,,
GJ7DNI,59,,
K4MSG,60,,
G0CBU,61,,
G4KPW,62,,
M0XIE,63,,
G3MQR,64,,
M0COG,65,,
G3AIK,67,,
M0XBI,68,,
M0JCM,69,,
M0UFO,70,,
G0BWJ,71,,
G0KCZ,72,,
EI4KC,73,,
MM0CWJ,74,,
G0VQW,75,,
G4AJA,76,,
DL5CL,77,,
M0HVM,78,,
DL4CF,78,,
G4JVJ,81,,
S51M,82,,
G4PPG,83,,
S57WJ,84,,
EI8GGB,86,,
2E0UMB,87,,
YO3FVR,88,,
M0HAZ,89,,
GI4FUE,90,,
M0CRU,91,,
DK5HE,92,,
DL7CV,93,,
HI8CJG,94,,
M0YMJ,95,,
G4UNS,96,,
G3SVK,97,,
M0EEH,99,,
M0DXR,101,,
MW0DDE,102,,
G3TTY,104,,
G4WQI,105,,
G3HEJ,106,,
G2FSR,107,,
2E0JZK,108,,
