# 20240418
callsign,member_id,valid_from,valid_to
DK5KE,56,,
I7BNX,85,,
HA3NU,33,,
HG3R,33,,
DF4KV,8,,
YU1EA,96,,
YT8A,96,,
ON5GK,4,,
SP9DBA,53,,
OE1FEU,13,,
DF5JT,13,,
DL2FAK,10,,
ON7VU,3,,
G4ILW,41,,
DF9TF,28,,
PR7PO,49,,
DL9BAI,26,,
F6DUR,71,,
DL4KG,55,,
LB1GB,40,,
OE5MSM,86,,
ON7GO,12,,
OE7RKH,35,,
LZ2RS,21,,
DK9FE,43,,
DL2KBH,25,,
DL4FDM,17,,
HB9CSA,17,,
UR7FM,51,,
9A7WW,108,,
YI9DX,108,,
KB3WVX,108,,
6O3A,108,,
J28AA,108,,
4O7DR,108,,
E70A,108,,
OZ2JV,20,,
ON4IM,7,,
F6IFY,18,,
PA3BWK,19,,
DL5ZAS,29,,
DL6MAA,27,,
OH1LA,30,,
OH2HEX,30,,
YU1KT,42,,
HA1XH,65,,
DL8HAR,44,,
ON9EEE,34,,
OU0POLIO,34,,
5Q0T,34,,
HA8MT,34,,
UT0FT,78,,
UW2F,78,,
DL4CF,64,,
M0HVM,64,,
HA1XJ,39,,
Z32ZM,79,,
Z68MA,79,,
OH2BMD,52,,
LA5DW,38,,
S51M,91,,
SM4OTI,73,,
EA7WA,45,,
EA4KA,50,,
DK4XL,47,,
DL2CC,48,,
DF4PA,66,,
DF1LX,87,,
DL9MDW,60,,
N9MDW,60,,
VE3CRG,57,,
F6IIE,69,,
UR3LC,62,,
OH6NTO,59,,
SP3LPR,105,,
SP60VHSC,105,,
W6ZBA,68,,
I1QOD,95,,
JT1FCY,95,,
DL3KDH,75,,
RX6FJ,76,,
LZ1JZ,84,,
OH4LYX,80,,
OH4X,80,,
Z35M,81,,
4O4A,93,,
I0GOJ,99,,
DJ5CW,115,,
WB6LQR,115,,
SO5CW,115,,
YT7AW,100,,
SA7DXR,100,,
IZ4AGI,103,,
HB9FIR,98,,
IK0XCB,98,,
IK0YGJ,102,,
KV1I,101,,
IK0IXI,104,,
W3IX,104,,
DL8JJ,111,,
LZ2EN,111,,
IS0AFM,107,,
OE5FIN,113,,
IN3EBZ,112,,
SQ6JAN,114,,
I8QFK,118,,
IZ2MGN,117,,
IZ8VKW,119,,
IK5VLL,110,,
YU1RL,22,,
PT2/YU1RL,22,,
4L5A,15,,
IK4VFD,106,,
ON5LU,5,,
UA3AO,6,,
G4ENV,14,,
DE2CWM,23,,
I8SOU,97,,
IK6IHM,109,,
SM0NCS,58,,
F5LHK,72,,
