# 20240103
callsign,member_id,valid_from,valid_to
MM0DFV,1,,
GM0WRR,2,,
RZ1OM,3,,
G3SEM,4,,
PA0MIR,5,,
HB9DHG,6,,
WB9VKZ,8,,
VE2GEP,9,,
N8PVZ,10,,
VA3RJ,11,,
UR5ZMK,12,,
YO6AJI,13,,
YC8EXL,14,,
RW9WF,15,,
RU3QR,16,,
UT7FP,18,,
M1CDP,19,,
RA6CT,20,,
JA2KCY,21,,
DL1BBO,22,,
RA4HL,23,,
UU7JN,24,,
4Z4DX,25,,
VK2IT,27,,
DG3RCE,28,,
UX1IL,29,,
K6JRY,31,,
RV3DUT,32,,
ON3AD,33,,
RA1AE,34,,
RU9DX,35,,
W4WYD,36,,
MM0BSM,37,,
VA3MA,38,,
4X6UO,39,,
CT2IRJ,40,,
N4ZY,41,,
NJ4F,42,,
RW6AH,43,,
W3CRR,44,,
VE3DUO,45,,
UR6QF,46,,
UR4QUO,47,,
KC5IZF,48,,
YU1KM,49,,
RW9SZ,50,,
M5AAV,51,,
RW3WH,52,,
N1JLW,53,,
K1PMW,54,,
W1SSF,55,,
7Z1SJ,56,,
W3MIV,57,,
W6IDS,58,,
WB3EBA,59,,
UR3CAT,60,,
KI4KQC,61,,
VP9GE,62,,
ON4BX,63,,
UA3IAJ,64,,
EA5XC,65,,
S50DX,66,,
M5PLY,67,,
ON4GPN,68,,
UZ1RR,69,,
UX0IK,70,,
K4AQ,71,,
RV3BQ,72,,
RN3ABA,73,,
YL2KF,74,,
K5STA,75,,
DL8MBF,76,,
UA3QDX,77,,
GM0EZP,78,,
KG6SDK,79,,
YB2ECG,80,,
RW3GA,81,,
RW3GL,82,,
UA3GEA,83,,
RZ6HQ,84,,
OH2MPH,85,,
N6YIH,86,,
PJ2MI/PA,87,,
RV9WP,88,,
UA9WDK,89,,
UA6LJB,90,,
SP6CIK,91,,
EX8AB,92,,
UR5VUL,93,,
US1RCH,94,,
RA1QIB,95,,
RN4ABD,96,,
AD4RX,97,,
G7OGX,98,,
KC4RHW,99,,
W2BOC,100,,
PA0LSK,101,,
GM6JUA,102,,
OH3NNZ,103,,
UA3DCZ,104,,
NN1J,105,,
UT0SE,106,,
WB0BLV,107,,
WW4LL,108,,
PA0HOP,109,,
W8HL,110,,
UR5AU,111,,
UT2AB,112,,
G1KRU,113,,
RA6AV,114,,
RV3BZ,115,,
KD4CC,116,,
W9HLY,117,,
G6BIT,119,,
DL1THB,120,,
UA9WIK,121,,
UA9WT,122,,
AI4FR,123,,
KD5DE,124,,
KA5DON,125,,
G3IRM,126,,
RX1CQ,127,,
KI7AY,128,,
KF9XK,129,,
YU1RP,130,,
K4QHH,131,,
US1REO,132,,
KL7JGN,133,,
UA3VJV,134,,
N7YG,135,,
YZ1ZO,136,,
US0YA,137,,
KR1ST,140,,
K1BBJ,141,,
ZL3KR,142,,
EA5FL,143,,
DL7ASL,144,,
