# 20240116
callsign,member_id,valid_from,valid_to
GX0IPX,1,,
GX3ZQS,2,,
G4XHZ,8,,
G4HZV,35,,
G4RQA,36,,
G0GZN,37,,
G0BQV,40,,
G0FZG,51,,
G0GPH,65,,
G4FUI,66,,
G8LBT,66,,
G0DHZ,85,,
G0CHV,90,,
G4LJU,99,,
G4ZXN,103,,
G3KMG,124,,
G4MLW,130,,
G0EQC,135,,
GW0EDC,151,,
G0DIH,171,,
G0IIK,172,,
G4DYC,187,,
GM0EPO,209,,
G0HYT,220,,
G4JKO,226,,
G3MCK,230,,
G0IOF,231,,
G4YNK,235,,
G0BWG,238,,
G4PPK,244,,
GM4OSS,251,,
GW0DSP,269,,
G0BXC,290,,
G0AQL,291,,
EI5JF,311,,
G0JAY,311,,
WB2EZG,315,,
G4YSQ,344,,
ON4AGJ,352,,
G3ZPF,355,,
G0JLX,358,,
VP8DJO,358,,
A45WY,358,,
ZD8AD,358,,
GW0JLX,358,,
G0DEB,380,,
G0ILN,398,,
ON4ANE,435,,
G0KPH,453,,
G4ENZ,475,,
G0GGU,491,,
G4YLB,492,,
GM0HUU,507,,
G0KYC,513,,
G4GBX,514,,
G0KWD,525,,
WB9CIS,531,,
G0EVV,550,,
G0MCV,555,,
N1FUM,569,,
G4OSB,579,,
VE3ERT,599,,
G3WWS,604,,
G0KBN,612,,
G4GZG,627,,
G4GBG,637,,
GW4GCB,657,,
G0MVP,665,,
G0MOU,668,,
G6JFL,669,,
GW0GQC,671,,
UT4FJ,678,,
G4YMB,681,,
GW0IRP,690,,
GW0KRL,711,,
G7APP,711,,
GW7APP,711,,
G0KRL,711,,
G0FHK,712,,
V21RP,712,,
G3VTT,713,,
G0NZA,721,,
GM0IFM,728,,
G0IFM,728,,
VA6ERA,743,,
G0NYD,757,,
GM0NYD,757,,
KC3QC,768,,
SV2AJX,771,,
G4XUZ,777,,
G0PWX,830,,
G7JJN,830,,
G4VVK,838,,
VE3TJE,849,,
IK2RMZ,853,,
DL1GBZ,853,,
EI5HE,861,,
EI7HM,863,,
VE2GOO,864,,
W4ISA,867,,
G0PWZ,876,,
PS7KM,886,,
G0LWI,901,,
WA8BIJ,905,,
W4NJK,908,,
NS3E,909,,
NH6GT,912,,
AA8MI,914,,
N8KZN,919,,
W1JLA,925,,
G0UBE,934,,
G4KXG,938,,
G4FJC,988,,
GX0OOO,1000,,
GX7OOO,1000,,
M0O,1000,,
N2NTO,1004,,
N2CG,1006,,
WG3T,1007,,
N2AUR,1009,,
N3IJR,1013,,
N8TI,1016,,
KA2GJV,1017,,
WA4JJH,1018,,
VE3SLQ,1025,,
W5TEH,1026,,
W1TT,1027,,
NC2B,1028,,
AC4VL,1029,,
KE2NT,1031,,
N9LTT,1032,,
WI9S,1033,,
WJ3W,1034,,
N1IJR,1037,,
N3ITF,1038,,
AC4W,1042,,
W3LEN,1043,,
KD6GFH,1045,,
AA8RV,1046,,
KD6CVP,1048,,
K9HIM,1050,,
GM0PXV,1057,,
GM4PSL,1062,,
G4PSL,1062,,
G0HIS,1071,,
EI5HJ,1079,,
ON6RL,1080,,
ON6KD,1080,,
G4OJW,1124,,
G0JIT,1136,,
G0SXG,1138,,
G0LHZ,1155,,
GI0BEY,1184,,
GI4BBE,1188,,
G0TUE,1191,,
KB5SFS,1204,,
WW4B,1205,,
KB5HRS,1206,,
KA1UEH,1207,,
WA1WPR,1208,,
KC1DI,1210,,
AA0IQ,1211,,
K9VKY,1212,,
K8MM,1213,,
K1NIE,1215,,
VE3WNS,1216,,
M0CEL,1216,,
N1FPG,1217,,
WV1T,1219,,
AA3AV,1220,,
KF8YM,1223,,
KC4OCS,1224,,
K4HQ,1225,,
VE9AE,1233,,
N1IBL,1234,,
K9JWF,1236,,
AA2WG,1237,,
KN4GG,1238,,
N2PNG,1244,,
K8SG,1245,,
W4OX,1246,,
W4UM,1247,,
W8FYO,1248,,
K2AX,1249,,
KY2R,1250,,
N5YFS,1251,,
W6QR,1252,,
