# 20241208
callsign,member_id,valid_from,valid_to
DL7CV,3,,
G3EDA,31,,
CM2JK,55,,
DL6WR,57,,
DL6XF,58,,
SM0AIG,68,,
SM6BXN,70,,
G3BDQ,87,,
ON4QF,95,,
F9HR,98,,
ON4AZ,101,,
G3EDW,102,,
IK5BSQ,105,,
I1CSJ,105,,
G3DMG,108,,
SM5EY,124,,
GW3ZV,129,,
SM6BLF,133,,
4S7NG,134,,
OH2YV,147,,
OH3MAF,147,,
F6DNK,150,,
DL9PR,152,,
DL6XW,159,,
CN8FL,162,,
W8PRM,167,,
G3IDG,170,,
SM7BHF,178,,
SP3PL,179,,
OZ9DX,183,,
DL7GK,184,,
SM5AWJ,187,,
S59AA,189,,
S5930AA,189,,
LA5HE,194,,
DJ1WQ,202,,
HK3YH,202,,
DL7GR,203,,
DJ1VC,206,,
UK5IAZ,213,,
DJ2AW,221,,
G3KMQ,228,,
DL3ZI,229,,
DJ2HW,236,,
DJ2PJ,258,,
DJ4DGM,263,,
DL6EM,264,,
LA6CF,269,,
OH6RA,270,,
S51L,271,,
DJ4KW,273,,
V31YN,273,,
DJ3NW,276,,
DJ4KD,277,,
DJ0MCH,278,,
PA0LXL,279,,
DL7DO,280,,
S51IB,288,,
DJ3WJ,292,,
G3JVZ,293,,
DJ5AZ,296,,
SP3HD,303,,
DJ2HC,310,,
DJ5ZN,314,,
K2OO,317,,
DJ5IO,320,,
DJ5DZ,324,,
DJ5PV,332,,
DJ7IK,334,,
DJ6SI,336,,
DJ5QF,337,,
DM3KDN,347,,
DL1DTL,360,,
DJ1OJ,368,,
EA8OM,368,,
SW3JH,372,,
WZ7N,372,,
SV3RKM,372,,
DJ5JH,372,,
DJ6RX,374,,
SM3AVW,376,,
W1WLW,377,,
OK1GT,382,,
DJ5EO,383,,
W7CNL,385,,
K9GCI,387,,
CT1FJK,388,,
OH2BZ,388,,
F6DQE,392,,
DJ7MI,394,,
K7LXJ/7,398,,
DL2JLA,402,,
SP7QO,404,,
DL7UYO,405,,
SM5MX,406,,
SM7MX,406,,
I0GO,411,,
OK1KT,412,,
OK2QX,414,,
I2SBW,416,,
DL4FT,418,,
UA3MDX,419,,
K3JJG,422,,
SM0JHF,423,,
K6JHF,423,,
UA6LI,426,,
DJ8CR,432,,
DJ3OE,436,,
HB9ABO,437,,
DJ6MN,442,,
OH2BH,445,,
DJ7YT,452,,
OK2BBJ,453,,
SM0BKZ,454,,
G3RCO,459,,
HA5DI,460,,
