# 20250228
callsign,member_id,valid_from,valid_to
IZ8BGY,1,,
IZ5MOQ,3,,
I8KHC,4,,
UN8GU,5,,
IK8LOV,6,,
I1JQJ,7,,
IK8VRN,8,,
IZ5PVR,9,,
IZ7FLP,10,,
IZ8IYL,11,,
I2VGW,12,,
IK8VRH,13,,
IZ8CGS,14,,
YB3IZK,15,,
YC0IEM,16,,
IZ1JMN,17,,
IT9EJW,18,,
IZ8DFO,19,,
IT9SSI,20,,
YB3MM,21,,
IC8ATA,22,,
IT9YVO,23,,
IK1NLZ,24,,
CO8TW,25,,
IZ1BZV,26,,
IZ5DKG,27,,
IZ8BGW,28,,
IZ5GST,29,,
IZ8DDP,30,,
IZ8EEI,31,,
IZ1MHX,32,,
JI6KVR,34,,
IK1RGK,35,,
ON4CAS,38,,
IK2VUC,40,,
IZ2GTO,41,,
IU2GPJ,42,,
IK2RGT,43,,
IW1RBI,44,,
IK2THN,45,,
IZ8FFA,46,,
IZ2MFD,48,,
IW7EGQ,51,,
IW2ETR,53,,
HA9PP,54,,
IZ1MHY,55,,
IZ1ETD,56,,
KM1R,57,,
YB9BU,58,,
EA8AKN,60,,
CU3AK,61,,
IW1QLH,62,,
F8BON,63,,
4Z4DX,64,,
IZ1EZN,65,,
IZ8FWN,66,,
IZ7GXB,67,,
IC8DAK,68,,
IZ5ILJ,69,,
IK3QAR,71,,
LU9DA,72,,
IW9HMQ,73,,
IK2UVR,74,,
IK2TDM,75,,
IZ8EFD,76,,
K9AJ,77,,
IT9ZZO,78,,
SP7DQR,79,,
IZ1UKF,81,,
IZ7FLQ,82,,
ON7RN,86,,
RZ3EC,87,,
IK8LTB,88,,
IZ1PNT,90,,
IZ2GNQ,91,,
IZ2KXC,93,,
IW1DQS,95,,
IZ3GOO,96,,
IZ0DXI,97,,
IK4MTK,98,,
HB9OAU,101,,
IK1JJM,102,,
IZ7PMQ,103,,
IK7JTF,105,,
IU5AXT,106,,
IC8AIK,108,,
9H1SP,109,,
I1ASU,110,,
I2IOJ,111,,
HB9FWB,112,,
IK3FHP,114,,
RZ3EM,115,,
IW5AB,116,,
YB3KM,117,,
LZ2FF - IZ2GRG,118,,
WP4F,120,,
IW1RIH,121,,
IW3RUA,122,,
IT9VCE,123,,
IZ5MMK,124,,
IK5BOH/2,125,,
IZ8XXE,126,,
IZ1KFF,127,,
IZ8EZP,128,,
F5NPS,129,,
F5XL,130,,
IK8ARF,131,,
W5BOS,132,,
F5RBB,133,,
A61M,134,,
IZ5YEJ,135,,
I0SYQ,136,,
IQ1LF,137,,
F4CZU,138,,
SP9BZM,139,,
IK2JYT,140,,
F4CYZ,141,,
IK2LTR,142,,
IW2ENA,143,,
IK2XRJ,144,,
Z33F,145,,
W9DC,146,,
I8NLC,147,,
IZ5IIN,148,,
I7OEB,149,,
IK8YTA,150,,
IK1ADH,151,,
F5EOT,152,,
I8YGZ,153,,
IZ8EZP,154,,
IK7GIM,155,,
EA6GK,156,,
I8KNT,157,,
IZ2LSP,158,,
IZ1WYL,159,,
EA3GHZ,160,,
N1DG,161,,
IK8TWV,162,,
IZ5PJD,163,,
IZ8VYU,164,,
HB9EFJ,165,,
I4LCK,167,,
IZ8FCA,168,,
IZ8KHC,169,,
SU1KA,170,,
IZ3BSU,171,,
IZ8IBC,173,,
RA3NAN,174,,
IZ1XJL,175,,
IZ1NDZ,176,,
IM0DTF,177,,
IZ8FRH,178,,
IK7QMJ,179,,
IK7LMX,180,,
IK4RVG,181,,
CT1EEB,182,,
IK1XPK,183,,
IK0AIH,184,,
IZ8IEV,185,,
GU4YOX,186,,
SP7IWA,187,,
CE6TBN,188,,
G3KMA,189,,
G3ZAY,190,,
IZ8OFB,191,,
PT7HF,192,,
