# 20241031
callsign,member_id,valid_from,valid_to
2E0GMR,2778,,
2E0JCY,2531,,
2E0JYK,4603,,
2E0MBH,4248,,
2E0PAU,4249,,
2E0RGH,6253,,
2E0TBV,2441,,
2E0TDP,4323,,
2E0YAR,7196,,
2E1ADT,9280,,
2E1RAF,4868,,
2I0DYA,9964,,
2I0VFO,2659,,
2M0BEC,8747,,
2W0HAS,6593,,
3B8GD,3795,,
4S7JL,6656,,
4S7WP,4214,,
4X1ZZ,5437,,
4X4PP,2173,,
4X6KF,7784,,
4Z4DX,4259,,
4Z5MI,4261,,
5A1AL,2405,,
5B4AHO,7219,,
5Z4MR,3499,,
7J3AOZ,484,,
7N1ICA,2240,,
7N2GTR,8830,,
7Z1AL,6660,,
9A0W,8091,,
9A3HP,2374,,
9A3RJ,5049,,
9A3Y,4144,,
9A5AHA,4355,,
9A5MPV,9174,,
9A7DD,5759,,
9A9DR,4875,,
9A9L,4835,,
9A9RA,887,,
9A9Y,7931,,
9H1AQ,5316,,
9M2RDX,4908,,
9M2ROL,9077,,
9M2TJ,6580,,
9M2UST,6661,,
9M2ZAK,5683,,
9V1SV,6600,,
9V1YF,7214,,
9W2ALI,5209,,
9W2KEY,5207,,
9W2SNY,5646,,
9W2WIS,5477,,
A65BI,4389,,
AA0AA,1198,,
AA0AU,11485,,
AA0CB,8849,,
AA0DW,9302,,
AA0GK,8609,,
AA0GM,9558,,
AA0GU,8900,,
AA0IJ,8337,,
AA0IW,11882,,
AA0JR,10875,,
AA0K,533,,
AA0L,4193,,
AA0LV,9788,,
AA0RQ,1301,,
AA0VE,158,,
AA0W,6220,,
AA1AH,2451,,
AA1BA,11868,,
AA1CM,3192,,
AA1CT,8768,,
AA1HM,11647,,
AA1IK,679,,
AA1LL,1946,,
AA1MY,1652,,
AA1OF,1758,,
AA1PG,2890,,
AA1PL,7361,,
AA1QT,4473,,
AA1RB,7013,,
AA1SW,1709,,
AA1TA,5153,,
AA1TJ,2080,,
AA1VA,5650,,
AA1WH,10595,,
AA1YY,6237,,
AA2AD,9246,,
AA2EA,7753,,
AA2FG,4015,,
AA2ID,5285,,
AA2JQ,9251,,
AA2MX,5394,,
AA2SM,7373,,
AA2SX,8103,,
AA2UP,9775,,
AA2VG,6563,,
AA2VK,395,,
AA2XY,8871,,
AA2Y,9162,,
AA2YK,5110,,
AA2YV,1144,,
AA3BR,10050,,
AA3CE,1420,,
AA3CS,5642,,
AA3GM,4618,,
AA3JK,1890,,
AA3LX,4628,,
AA3O,5863,,
AA3RT,1982,,
AA3SJ,7383,,
AA3TG,1889,,
AA3TH,1006,,
AA3UJ,4047,,
AA3XP,7297,,
AA3YW,1017,,
AA4AK,994,,
AA4AS,597,,
AA4BI,1961,,
AA4BW,2496,,
AA4CF,7685,,
AA4CM,1749,,
AA4G,11458,,
AA4GA,5415,,
AA4GN,1412,,
AA4HI,2312,,
AA4HV,10679,,
AA4IO,6178,,
AA4LS,9523,,
AA4MB,10158,,
AA4MC,338,,
AA4MI,1237,,
AA4MX,8362,,
AA4MZ,3858,,
AA4NN,970,,
AA4NO,861,,
AA4OM,394,,
AA4OO,7935,,
AA4PB,2714,,
AA4SD,1842,,
AA4SN,10085,,
AA4TE,11374,,
AA4TG,4422,,
AA4TZ,4340,,
AA4W,1628,,
AA4XX,102,,
AA4ZT,534,,
AA5AD,8916,,
AA5CF,10303,,
AA5CH,802,,
AA5CK,800,,
AA5CO,6680,,
AA5D,6502,,
AA5EJ,3060,,
AA5HL,7986,,
AA5JJ,2443,,
AA5KD,10961,,
AA5LH,5349,,
AA5LL,2947,,
AA5TB,57,,
AA5VE,7739,,
AA5VZ,6677,,
AA5W,9527,,
AA5WH,6250,,
AA5XA,10918,,
AA5XQ,6684,,
AA6DQ,4947,,
AA6EH,9544,,
AA6KI,770,,
AA6MK,9049,,
AA6RE,1446,,
AA6RM,7735,,
AA6TH,8867,,
AA6WQ,5991,,
AA6XA,8522,,
AA6YT,1183,,
AA6ZJ,4684,,
AA7CU,2923,,
AA7CW,11196,,
AA7DX,508,,
AA7EE,3782,,
AA7EQ,160,,
AA7G,5841,,
AA7HC,7260,,
AA7JC,3440,,
AA7LX,427,,
AA7OY,10213,,
AA7QK,8169,,
AA7RX,6298,,
AA7TO,8624,,
AA7TS,7908,,
AA7US,8116,,
AA7VW,1702,,
AA7W,2839,,
AA7WU,6696,,
AA7YQ,629,,
AA8FG,5789,,
AA8IV,618,,
AA8KT,7161,,
AA8KY,10814,,
AA8LF,9569,,
AA8MI,5703,,
AA8PI,10151,,
AA8QV,11057,,
AA8R,9728,,
AA8SN,928,,
AA8VA,7344,,
AA8WQ,1086,,
AA9AA,8904,,
AA9BL,7360,,
AA9BO,5007,,
AA9DL,2735,,
AA9GB,8066,,
AA9GG,3123,,
AA9GL,8289,,
AA9IL,7949,,
AA9JM,1437,,
AA9L,827,,
AA9NA,1901,,
AA9VJ,1407,,
AA9WP,1104,,
AA9WT,4562,,
AA9XA,9773,,
AB0AH,9522,,
AB0BM,5372,,
AB0CD,1950,,
AB0CW,969,,
AB0DK,9209,,
AB0LJ,5008,,
AB0MO,5970,,
AB0RA,1101,,
AB0RS,813,,
AB0SB,1035,,
AB0SR,1553,,
AB0SX,607,,
AB0TO,4645,,
AB0TX,2470,,
AB0XE,4529,,
AB0XR,11644,,
AB1AU,11612,,
AB1AV,1388,,
AB1CW,2616,,
AB1DQ,2965,,
AB1EE,2306,,
AB1EH,5423,,
AB1FD,8558,,
AB1HD,1980,,
AB1II,5927,,
AB1JB,2710,,
AB1KP,3779,,
AB1LF,4024,,
AB1LL,8018,,
AB1OC,6327,,
AB1OP,5469,,
AB1PF,6842,,
AB1SG,6332,,
AB1ST,7624,,
AB1SW,6826,,
AB1UE,1047,,
AB1VL,6799,,
AB1VX,8404,,
AB1XW,7841,,
AB1YD,8451,,
AB1YT,8278,,
AB1ZI,9055,,
AB2BJ,5480,,
AB2II,1309,,
AB2IO,3184,,
AB2KT,4860,,
AB2NJ,136,,
AB2SO,6752,,
AB2TS,4023,,
AB2ZI,2801,,
AB2ZU,4925,,
AB3AP,1654,,
AB3CV,1619,,
AB3DJ,9956,,
AB3EH,3566,,
AB3ET,7853,,
AB3HK,4445,,
AB3HQ,2349,,
AB3I,7866,,
AB3JS,11198,,
AB3LR,4614,,
AB3LS,5876,,
AB3MP,5829,,
AB3OO,9740,,
AB3RU,6431,,
AB3RV,6407,,
AB3SI,6714,,
AB3WW,7836,,
AB3XR,10055,,
AB3YH,8391,,
AB3ZI,9198,,
AB4BA,11800,,
AB4CT,6039,,
AB4CZ,2541,,
AB4EW,1647,,
AB4GK,5254,,
AB4GR,7582,,
AB4KH,941,,
AB4KJ,6294,,
AB4MW,11398,,
AB4O,1756,,
AB4OT,5917,,
AB4PP,118,,
AB4QL,777,,
AB4RH,9041,,
AB4VF,1340,,
AB4XB,8829,,
AB5AR,8291,,
AB5CC,7514,,
AB5DK,2350,,
AB5EB,890,,
AB5EU,5229,,
AB5GQ,9469,,
AB5M,10511,,
AB5OR,7423,,
AB5PK,11526,,
AB5U,2673,,
AB5XM,7852,,
AB5XS,10611,,
AB5ZR,8228,,
AB6DM,10900,,
AB6E,2747,,
AB6NY,11594,,
AB6OJ,6260,,
AB6TY,2195,,
AB6U,3554,,
AB6UR,9847,,
AB6YA,7060,,
AB6Z,10943,,
AB7MP,2334,,
AB7OC,2551,,
AB7RU,9601,,
AB7TJ,2723,,
AB8AV,10470,,
AB8CC,2406,,
AB8CQ,2524,,
AB8DY,8215,,
AB8FE,6140,,
AB8FI,8346,,
AB8FJ,694,,
AB8GB,5449,,
AB8GQ,5457,,
AB8GU,6913,,
AB8KD,2614,,
AB8KS,1308,,
AB8KT,6338,,
AB8NO,10780,,
AB8OU,6794,,
AB8RG,10026,,
AB8RL,8386,,
AB8S,4228,,
AB8SA,5811,,
AB8SI,4299,,
AB8SV,8130,,
AB8SX,3188,,
AB8UN,1829,,
AB8WN,9827,,
AB8XA,5352,,
AB8XB,4477,,
AB8ZK,2737,,
AB9AI,10917,,
AB9BZ,9309,,
AB9CA,1442,,
AB9EI,1706,,
AB9EK,11554,,
AB9GW,7170,,
AB9HT,6702,,
AB9IO,1067,,
AB9JT,2432,,
AB9LM,9629,,
AB9MS,3029,,
AB9NE,11601,,
AB9QP,1499,,
AB9QU,1612,,
AB9SY,4984,,
AB9TC,7248,,
AB9V,3351,,
AB9YC,6319,,
AB9YU,5788,,
AC0BQ,1440,,
AC0BV,139,,
AC0DS,1132,,
AC0GP,1352,,
AC0H,3441,,
AC0HD,5519,,
AC0I,8669,,
AC0IF,3660,,
AC0LL,313,,
AC0LV,6474,,
AC0MP,5284,,
AC0OW,3968,,
AC0PD,5165,,
AC0PR,8494,,
AC0QQ,7119,,
AC0RS,8231,,
AC0S,295,,
AC0SR,4869,,
AC0TG,8327,,
AC0TW,5118,,
AC0UD,9004,,
AC0UK,5918,,
AC0XB,5462,,
AC0Z,1841,,
AC0ZU,9639,,
AC1BO,8754,,
AC1BS,10123,,
AC1FT,9593,,
AC1KI,10509,,
AC1KM,10659,,
AC1KV,11154,,
AC1Z,7364,,
AC2C,3627,,
AC2DX,5764,,
AC2FV,8729,,
AC2GL,4508,,
AC2HJ,7149,,
AC2IK,7440,,
AC2JB,7199,,
AC2KJ,7507,,
AC2KZ,9696,,
AC2LI,4768,,
AC2MV,9892,,
AC2OK,3134,,
AC2OX,8030,,
AC2Q,8002,,
AC2YD,10378,,
AC2ZR,10101,,
AC3EO,10147,,
AC3FM,10755,,
AC3GV,10663,,
AC3JP,11407,,
AC3JX,11619,,
AC3K,8036,,
AC4AK,4862,,
AC4AL,5852,,
AC4AS,382,,
AC4BN,7701,,
AC4BT,351,,
AC4CX,4889,,
AC4FS,822,,
AC4HD,2325,,
AC4IM,1562,,
AC4NS,8986,,
AC4NV,6599,,
AC4NY,926,,
AC4PA,7127,,
AC4PW,9923,,
AC4RM,5084,,
AC4ST,9073,,
AC4UR,1540,,
AC5A,8405,,
AC5BG,3212,,
AC5BX,10186,,
AC5CW,2296,,
AC5EH,6364,,
AC5EZ,3943,,
AC5GG,6899,,
AC5K,2775,,
AC5M,11766,,
AC5RN,9562,,
AC5T,5494,,
AC5XK,10697,,
AC6AC,8341,,
AC6C,3686,,
AC6CW,8564,,
AC6DF,11237,,
AC6NN,2480,,
AC6YY,2292,,
AC6ZM,9722,,
AC7AC,3557,,
AC7AF,6127,,
AC7AP,1892,,
AC7FF,7618,,
AC7FX,11446,,
AC7HP,1763,,
AC7K,4982,,
AC7KF,453,,
AC7NA,2123,,
AC7QU,6926,,
AC7RB,2214,,
AC7RK,3828,,
AC7TE,1151,,
AC7UT,835,,
AC7WZ,4124,,
AC7XF,3468,,
AC7YE,41,,
AC7ZM,1094,,
AC7ZN,1728,,
AC8AP,3105,,
AC8ED,3668,,
AC8EO,5626,,
AC8HB,5586,,
AC8JW,4189,,
AC8KB,6003,,
AC8KJ,11471,,
AC8LZ,6113,,
AC8RG,2326,,
AC8SI,8783,,
AC8UO,3802,,
AC8YE,8807,,
AC9BQ,6862,,
AC9BR,4709,,
AC9BZ,2263,,
AC9DE,9022,,
AC9DN,168,,
AC9EM,7683,,
AC9EZ,6672,,
AC9FX,7431,,
AC9HP,11278,,
AC9LE,10881,,
AC9LZ,8275,,
AC9MG,9007,,
AC9NP,7962,,
AC9NW,10925,,
AC9OH,8538,,
AC9R,4008,,
AC9SB,11162,,
AC9TS,3257,,
AC9WM,10562,,
AC9XH,602,,
AC9YV,10811,,
AD0AN,6713,,
AD0BI,10259,,
AD0CW,1475,,
AD0DA,6460,,
AD0EI,6651,,
AD0FB,8574,,
AD0FH,6983,,
AD0FZ,6962,,
AD0G,2307,,
AD0GB,10232,,
AD0HQ,7983,,
AD0IA,3491,,
AD0IU,4496,,
AD0IV,7419,,
AD0JW,7038,,
AD0KI,4936,,
AD0L,11851,,
AD0LI,7974,,
AD0QE,8779,,
AD0QG,8518,,
AD0QM,10528,,
AD0RX,8427,,
AD0TF,8683,,
AD0UI,9812,,
AD0WB,9090,,
AD0WE,9708,,
AD0YM,9247,,
AD0ZE,11778,,
AD1G,10044,,
AD2AW,10714,,
AD2BE,10624,,
AD2F,8383,,
AD2GZ,11706,,
AD3K,3687,,
AD3Q,2419,,
AD3Y,7937,,
AD4AX,578,,
AD4CJ,2750,,
AD4CW,9199,,
AD4DX,348,,
AD4HB,8287,,
AD4HX,8223,,
AD4IH,3093,,
AD4IM,1026,,
AD4J,6201,,
AD4N,10296,,
AD4PM,2800,,
AD4S,4701,,
AD4XJ,7457,,
AD4XX,7984,,
AD5A,879,,
AD5NE,9009,,
AD5NW,6099,,
AD5QA,7392,,
