# 20230412
callsign,member_id,valid_from,valid_to
AF4K,1,,
K5MYJ,2,,
W9KVW,3,,
W1DFU,4,,
W4DST,5,,
KN7SFZ,6,,
K2RP,7,,
WD4NKA,8,,
N3PDT,9,,
KA9EGW,10,,
KG2LO,11,,
K7MBA,12,,
N8KQ,13,,
AG5M,14,,
N7HMN,15,,
K9MOV,16,,
N4LQ,17,,
WN4BFZ,18,,
WB4OMM,19,,
WA6ACC,20,,
K4ELV,21,,
WD9F,22,,
WA4CHQ,23,,
KR7W,24,,
N1GKE,25,,
I5SKK,26,,
N3GTE,27,,
W6PAP,28,,
W4AFB,29,,
KI3R,30,,
W7DRA,31,,
W5TS,32,,
AC2Q,33,,
KW6G,34,,
W9MVM,35,,
K4ENC,36,,
N2HTL,37,,
KF4MF,38,,
KB2FCV,39,,
W3KA,40,,
W4FKM,41,,
KA5HRF,42,,
K4AHO,43,,
K4IBZ,44,,
W8GP,45,,
K4RTE,46,,
K5ZOL,47,,
WB4AEG,48,,
WB2AWQ,49,,
K2MFW,50,,
WA8DOF,51,,
KF7WNS,52,,
WB9AYD,53,,
WB9GKZ,54,,
W0EAJ,55,,
WN5AIA,56,,
WI1G,57,,
WD8NHA,58,,
NE1S,59,,
K4WWY,60,,
KE0WW,61,,
K9LA,62,,
N9NA,63,,
K9STH,64,,
WA6VYN,65,,
N8LA,66,,
WA6FWI,67,,
W9WQ,68,,
N4GJV,69,,
N6DPG,70,,
W0EJ,71,,
WE0R,72,,
K2LMQ,73,,
WA6ARA,74,,
W5RKL,75,,
W1XT,76,,
AD0AB,77,,
KE3O,78,,
K5HFG,79,,
WA1NTA,80,,
K2DEP,81,,
W9ESX,82,,
WB9EGZ,83,,
K5UOS,84,,
K4PIH,85,,
KA0AAM,86,,
AH6AX,87,,
KB6GM,88,,
AB5S,89,,
KH2BR,90,,
KC4ZPB,91,,
W8PU,92,,
N3COB,93,,
WB6CGJ,94,,
KI8JY,95,,
KF9AQ,96,,
AJ4BP,97,,
NP4ZB,98,,
WA9ZWA,99,,
N4DKD,100,,
WA5OLT,101,,
KD2JC,102,,
K1LKY,103,,
AF5U,104,,
