# 20260204
callsign,member_id,valid_from,valid_to
PA7RA,1,2021-01-31,
PF6SKCC,2,2021-01-31,
PG4I,2,2021-01-31,
M0HEN,3,2021-01-31,
PA3HEN,3,2021-01-31,
PA3GNZ,4,2021-01-31,
PA3EEG,5,2021-01-31,
PA1MAR,6,2021-01-31,
PA4O,7,2021-01-31,
PG0S,8,2021-01-31,
PA0BAK,9,2021-01-31,
PA1DMG,10,2021-01-31,
YL3JD,11,2021-01-31,
PB5DX,12,2021-01-31,
PA2RG,13,2021-01-31,
OE3JRC,14,2021-02-01,
PA0Q,14,2021-02-01,
PD0SOT,15,2021-02-01,
ON4CGW,16,2021-02-03,
PA3GEO,17,2021-02-09,
PA1CW,18,2021-02-09,
PA3Y,19,2021-02-10,
PA3CWQ,20,2021-02-13,
PE2A,21,2021-02-24,
PA3DAZ,22,2021-02-24,
PA4WM,23,2021-02-25,
PA2JJB,24,2021-02-25,
PD0WLM,25,2021-02-25,
ON8VA,26,2021-02-25,
PB2JJ,27,2021-02-25,
PA3FTP,28,2021-02-26,
PA4M,29,2021-02-28,
PA2G,30,2021-02-28,
PA7RM,31,2021-02-28,
PA3BYW,32,2021-03-02,
PC4E,33,2021-03-03,
ON2AD,34,2021-03-04,
IK6BAK,35,2021-03-07,
M3F,36,2021-03-10,
G3WZD,36,2021-03-10,
9A1AA,37,2021-03-11,
SQ9S,38,2021-03-11,
PE1PYZ,39,2021-03-14,
CT7BTL,40,2021-03-15,
PF5X,40,2021-03-15,
F5NLX,41,2021-03-16,
SV9RNG,42,2021-03-17,
F8NUH,43,2021-03-20,
F6JOE,44,2021-03-25,
FG8NY,44,2021-03-25,
PG2W,45,2021-03-25,
SK 30-09-2023,46,2021-03-26,
PA0DIN,46,2021-03-26,
IK0PHU,47,2021-03-28,
SK 20-05-2023,48,2021-03-29,
DL1OP,48,2021-03-29,
F8DTU,49,2021-04-04,
PA50AGCW,50,2021-05-01,
OK1RR,51,2021-04-15,
PA5ABW,52,2021-04-15,
PA3DBS,53,2021-04-21,
PA3CNI,54,2021-04-26,
PA3FYE,55,2021-04-30,
PA5KT,56,2021-05-01,
ON4CAS,57,2021-05-02,
DL1LAF,58,2021-05-05,
PA0SIM,59,2021-05-17,
YO8DOH,60,2021-05-17,
PG7R,61,2021-05-22,
OK2BMA,62,2021-04-04,
PA9O,63,2021-06-08,
DF7TV,64,2021-07-16,
PA7JWC,65,2021-08-01,
S58MU,66,2021-08-11,
EA5FID,67,2021-08-29,
EA1IQ,68,2021-08-29,
EA3NO,69,2021-09-02,
PY2UDB,70,2021-09-07,
PA2SQ,71,2021-09-10,
DL1DXL,72,2021-09-29,
DM4RW,73,2021-10-04,
DL4FDM,74,2021-10-14,
HB9CSA,74,2021-10-14,
