# 20230224
callsign,member_id,valid_from,valid_to
3Z6AEF,592,,
4N7MG,160,,
9A2RK,87,,
9A2ZJ,215,,
AA2U,171,,
AC8W,186,,
DE2JGP,632,,
DF1RQ,219,,
DH0DK,727,,
DJ0AK,380,,
DJ0XJ,122,,
DJ5QK,62,,
DK7MQ,64,,
DK7QB,77,,
DL1JGA,321,,
DL1ZQ,278,,
DL2FI,221,,
DL3HRG,71,,
DL3RAD,577,,
DL5NA,169,,
DL6FBQ,123,,
DL6HBD,653,,
DL9NDM,764,,
F5JDG,224,,
FP5EK,139,,
G0BPS,157,,
G0CVZ,173,,
G0GLZ,165,,
G0NPK,270,,
G0TKK,203,,
G0TKT,97,,
G0VGS,305,,
G0WBM,204,,
G3GYU,232,,
G3KKQ,59,,
G3MCK,225,,
G3RJV,100,,
G3TMQ,230,,
G3VTT,61,,
G4APO,201,,
G4FDC,551,,
G4HOM,256,,
G4HSB,307,,
G4JFN,66,,
G4JRE,153,,
G4JZO,202,,
G4RAW,69,,
G7TAG,233,,
G8PG,60,,
GM0LNQ,205,,
GM3OXX,67,,
GM4CFS,76,,
GM4ELV,363,,
GM4ZND,156,,
HB9AMZ,356,,
HB9AYZ,381,,
HB9DAX,220,,
HB9XY,258,,
HC2GE,192,,
IK6XBO,275,,
K5BDZ,184,,
KA8SHZ,209,,
KC8NSM,457,,
KD8JN,179,,
KE9GG,189,,
KI6DS,191,,
KN1H,185,,
KQ3D,145,,
KR1S,94,,
KT6L,355,,
KV8KV,177,,
M0AOH,304,,
M0OAP,654,,
N4XY,172,,
N8CQA,187,,
N8ET,190,,
N8JSK,181,,
NG1G,180,,
OH9VL,108,,
OK1AAZ,253,,
OK1ACJ,504,,
OK1ACO,508,,
OK1ADQ,226,,
OK1AEH,245,,
OK1AEU,326,,
OK1AEV,537,,
OK1AEY,288,,
OK1AHH,243,,
OK1AHI,438,,
OK1AHM,312,,
OK1AIJ,7,,
OK1AJF,464,,
OK1AJJ,281,,
OK1AKJ,461,,
OK1ALU,289,,
OK1AME,707,,
OK1ANM,384,,
OK1ANN,462,,
OK1ANP,528,,
OK1APF,91,,
OK1AQO,89,,
OK1ARA,262,,
OK1ARF,101,,
OK1ARW,152,,
OK1AT,342,,
OK1ATD,300,,
OK1AWA,567,,
OK1AXC,291,,
OK1AXW,656,,
OK1AXZ,93,,
OK1AYY,501,,
OK1AZD,399,,
OK1BET,542,,
OK1BIO,250,,
OK1CAP,606,,
OK1CBA,724,,
OK1CBB,543,,
OK1CDJ,754,,
OK1CGN,532,,
OK1CJ,529,,
OK1CJB,533,,
OK1CMD,695,,
OK1CPM,341,,
OK1CPR,684,,
OK1CPS,272,,
OK1CQC,624,,
OK1CT,211,,
OK1CTC,541,,
OK1CTR,540,,
OK1CZ,1,,
OK1DAR,587,,
OK1DAV,28,,
OK1DBE,611,,
OK1DBL,453,,
OK1DBT,73,,
OK1DCE,31,,
OK1DCP,23,,
OK1DDA,752,,
OK1DDQ,667,,
OK1DDU,30,,
OK1DDV,527,,
OK1DEC,55,,
OK1DED,151,,
OK1DEP,671,,
OK1DEU,432,,
OK1DHR,271,,
OK1DHV,520,,
OK1DHZ,376,,
OK1DIQ,298,,
OK1DJD,75,,
OK1DJQ,683,,
OK1DJS,717,,
OK1DKB,423,,
OK1DKK,251,,
OK1DKO,635,,
OK1DKR,32,,
OK1DKS,162,,
OK1DLA,227,,
OK1DLY,25,,
OK1DMP,6,,
OK1DMZ,112,,
OK1DN,712,,
OK1DNM,16,,
OK1DNQ,54,,
OK1DOC,4,,
OK1DOF,373,,
OK1DOX,431,,
OK1DP,266,,
OK1DPX,314,,
OK1DQP,509,,
OK1DRE,42,,
OK1DRQ,37,,
OK1DRX,514,,
OK1DSA,35,,
OK1DSF,559,,
OK1DST,263,,
OK1DU,734,,
OK1DUB,79,,
OK1DUK,268,,
OK1DVP,284,,
OK1DVU,273,,
OK1DVX,46,,
OK1DWF,39,,
OK1DWG,15,,
OK1DXD,523,,
OK1DXE,120,,
OK1DXF,561,,
OK1DXK,36,,
OK1DXO,86,,
OK1DXR,582,,
OK1DZD,10,,
OK1FAO,22,,
OK1FAQ,377,,
OK1FB,259,,
OK1FBD,222,,
OK1FDC,265,,
OK1FED,360,,
OK1FEG,359,,
OK1FEL,34,,
OK1FET,138,,
OK1FFA,386,,
OK1FGM,276,,
OK1FGZ,366,,
OK1FH,780,,
OK1FHA,299,,
OK1FHL,121,,
OK1FHT,317,,
OK1FHW,159,,
OK1FJD,140,,
OK1FK,733,,
OK1FKD,57,,
OK1FKV,74,,
OK1FKY,98,,
OK1FLZ,116,,
OK1FMD,196,,
OK1FMH,740,,
OK1FMS,301,,
OK1FND,142,,
OK1FO,90,,
OK1FPA,80,,
OK1FPL,150,,
OK1FQK,766,,
OK1FQT,446,,
OK1FRN,628,,
OK1FRT,645,,
OK1FSM,570,,
OK1FT,333,,
OK1FTG,110,,
OK1FTS,506,,
OK1FTV,676,,
OK1FUN,779,,
OK1FV,463,,
OK1FVD,40,,
OK1FWT,197,,
OK1FXF,458,,
OK1FYA,18,,
OK1FYY,114,,
OK1GR,47,,
OK1GS,136,,
OK1GSB,535,,
OK1HAG,633,,
OK1HB,427,,
OK1HBJ,109,,
OK1HCD,698,,
OK1HCG,558,,
OK1HEA,264,,
OK1HI,609,,
OK1HPS,131,,
OK1HQ,88,,
OK1HR,51,,
OK1HSF,353,,
OK1HSK,161,,
OK1IAK,460,,
OK1IAR,13,,
OK1IC,316,,
OK1ICJ,510,,
OK1IEC,697,,
OK1IEV,348,,
OK1IF,358,,
OK1IKE,536,,
OK1IM,451,,
OK1IMJ,327,,
OK1IML,401,,
OK1IN,738,,
OK1IO,503,,
OK1IOA,26,,
OK1IPS,664,,
OK1ISH,575,,
OK1ITK,322,,
OK1IVO,746,,
OK1IVU,306,,
OK1IWN,238,,
OK1JAF,572,,
OK1JAR,729,,
OK1JAX,651,,
OK1JCQ,143,,
OK1JE,601,,
OK1JEF,332,,
OK1JEG,311,,
OK1JEH,730,,
OK1JHR,748,,
OK1JK,600,,
OK1JKV,610,,
OK1JME,442,,
OK1JMF,124,,
OK1JOC,254,,
OK1JRA,616,,
OK1JRU,249,,
OK1JSI,334,,
OK1JVT,195,,
OK1JX,214,,
OK1KL,146,,
OK1KX,70,,
OK1LIX,763,,
OK1LO,672,,
OK1LOL,615,,
OK1LST,755,,
OK1LU,309,,
OK1LV,640,,
OK1LZ,583,,
OK1LZA,630,,
OK1MAE,692,,
OK1MBK,11,,
OK1MC,50,,
OK1MCW,459,,
OK1MES,382,,
OK1MGO,557,,
OK1MGQ,556,,
OK1MHD,310,,
OK1MJH,352,,
OK1MJS,345,,
OK1MKX,286,,
OK1MMH,378,,
OK1MMU,395,,
OK1MN,419,,
OK1MNC,287,,
OK1MNH,484,,
OK1MNV,12,,
OK1MOC,103,,
OK1MPX,331,,
OK1MRA,102,,
OK1MRK,621,,
OK1MRS,685,,
OK1MWM,329,,
OK1MYN,29,,
OK1NAW,769,,
OK1NE,677,,
OK1NF,257,,
OK1NH,652,,
OK1NJC,456,,
OK1NL,436,,
OK1NR,166,,
OK1NZJ,526,,
OK1OT,255,,
OK1OX,315,,
OK1PBB,302,,
OK1PII,666,,
OK1PMP,702,,
OK1PQK,430,,
OK1PRR,411,,
OK1PRT,367,,
OK1PW,634,,
OK1QM,235,,
OK1QM,480,,
OK1QO,429,,
OK1RAD,721,,
OK1RP,394,,
OK1RV,622,,
OK1SA,365,,
OK1SDI,604,,
OK1SDR,743,,
OK1SF,392,,
OK1SGI,595,,
OK1SIM,772,,
OK1SIP,421,,
OK1SIT,340,,
OK1SJ,349,,
OK1SKZ,397,,
OK1SOB,625,,
OK1SUN,661,,
OK1SVB,409,,
OK1SVS,45,,
OK1TAM,483,,
OK1TDO,723,,
OK1TE,700,,
OK1TGI,778,,
OK1TIC,599,,
OK1TKM,756,,
OK1TLB,127,,
OK1TXW,555,,
OK1TZ,485,,
OK1TZL,758,,
OK1UFM,454,,
OK1UHU,547,,
OK1UKV,531,,
OK1UPZ,240,,
OK1USP,731,,
OK1USU,267,,
OK1UT,63,,
OK1UVA,660,,
OK1UZJ,571,,
OK1VCN,617,,
OK1VDX,379,,
OK1VEN,564,,
OK1VK,351,,
OK1VL,78,,
OK1VLP,5,,
OK1VO,104,,
OK1VYR,293,,
OK1WBC,638,,
OK1WC,500,,
OK1WF,512,,
OK1WI,147,,
OK1WMR,538,,
OK1WSL,330,,
OK1WVR,552,,
OK1WZ,675,,
OK1XDR,194,,
OK1XHI,663,,
OK1XKA,545,,
OK1XMS,244,,
OK1XNC,295,,
OK1XOE,725,,
OK1XR,390,,
OK1XRZ,132,,
OK1XTM,155,,
OK1XUV,325,,
OK1XVZ,612,,
OK1YNM,450,,
OK1ZDJ,720,,
OK1ZHV,482,,
OK1ZJV,711,,
OK1ZLM,407,,
OK1ZRA,590,,
OK1ZVA,422,,
OK2AGY,252,,
OK2ALP,686,,
OK2AS,593,,
OK2BAS,714,,
OK2BCA,106,,
OK2BCF,130,,
OK2BDS,412,,
OK2BEI,14,,
OK2BFK,388,,
OK2BHS,410,,
OK2BIK,371,,
OK2BJI,481,,
OK2BJL,383,,
OK2BJR,579,,
OK2BKA,241,,
OK2BKP,324,,
OK2BMA,2,,
OK2BND,144,,
OK2BNG,328,,
OK2BPG,38,,
OK2BRW,662,,
OK2BRZ,521,,
OK2BST,413,,
OK2BTK,689,,
OK2BTQ,228,,
OK2BTS,414,,
OK2BTT,8,,
OK2BUE,396,,
OK2BUH,516,,
OK2BUT,619,,
OK2BUX,148,,
OK2BVG,568,,
OK2BWC,507,,
OK2BXF,648,,
OK2BXR,72,,
OK2BZM,163,,
OK2BZW,164,,
OK2CLL,362,,
OK2CR,511,,
OK2CRB,750,,
OK2DAN,690,,
OK2EI,608,,
OK2EQ,17,,
OK2ER,649,,
OK2FB,48,,
OK2FH,41,,
OK2FUG,374,,
OK2FYM,339,,
OK2GE,435,,
OK2HBY,627,,
OK2HJM,704,,
OK2HOL,728,,
OK2HPH,586,,
OK2HSB,589,,
OK2HWP,391,,
OK2IDW,246,,
OK2IHH,642,,
OK2IKV,681,,
OK2IPW,336,,
OK2JEY,406,,
OK2JFS,364,,
OK2JGD,768,,
OK2JIQ,759,,
OK2JJP,277,,
OK2JO,732,,
OK2JZ,420,,
OK2KG,408,,
OK2LF,447,,
OK2LI,425,,
OK2MBQ,279,,
OK2MDI,701,,
OK2MHS,657,,
OK2MID,368,,
OK2MJ,282,,
OK2MPB,605,,
OK2MRJ,444,,
OK2MRZ,613,,
OK2MTV,525,,
OK2NA,415,,
OK2NAJ,710,,
OK2NET,641,,
OK2NMA,117,,
OK2OH,682,,
OK2PAQ,735,,
OK2PAW,3,,
OK2PBG,52,,
OK2PBH,208,,
OK2PBL,290,,
OK2PCY,544,,
OK2PDN,499,,
OK2PEB,248,,
OK2PEX,83,,
OK2PFZ,118,,
OK2PJD,58,,
OK2PJS,574,,
OK2PKY,455,,
OK2PLE,428,,
OK2PLK,296,,
OK2PLL,691,,
OK2POH,107,,
OK2PRF,170,,
OK2PRM,445,,
OK2PS,261,,
OK2PSA,393,,
OK2PTA,400,,
OK2PTK,404,,
OK2PUX,128,,
OK2PVA,530,,
OK2PVV,357,,
OK2PVX,659,,
OK2PWM,294,,
OK2PXJ,56,,
OK2PZL,84,,
OK2RGA,448,,
OK2RM,680,,
OK2RZ,573,,
OK2SAH,20,,
OK2SHI,614,,
OK2SIA,553,,
OK2SJF,594,,
OK2SJI,347,,
OK2SJJ,588,,
OK2SJS,546,,
OK2SPS,745,,
OK2SR,705,,
OK2SRO,737,,
OK2STM,751,,
OK2SYZ,560,,
