# 20240131
callsign,member_id,valid_from,valid_to
OM3AA,1,1995-01-01,
OM3EA,2,1995-01-01,
OM3MB,3,1995-01-01,
OM3IF,4,1995-01-01,
OM3LS,5,1995-01-01,
OM3FR,6,1995-01-01,
OM5BP,7,1995-01-01,
OM3YCA,8,1995-01-01,
OM3QQ,9,1995-01-01,
OM3CAZ,10,1995-01-01,
OM5NJ,11,1995-01-01,
OM7YA,12,1995-01-01,
OM4DN,13,1995-01-01,
OM4WW,14,1995-01-01,
OM2KM,15,1995-01-01,
OM5PK,16,1995-01-01,
OM7AW,17,1995-01-01,
OM8CA,18,1995-01-01,
OM7AG,19,1995-01-01,
OM3MY,20,1995-01-01,
OM3PA,21,1995-01-01,
OM3HW,22,1995-01-01,
OK2BHA,23,1995-01-01,
OM3BG,24,1995-01-01,
OM7RR,25,1995-01-01,
OM8AD,26,1995-01-01,
OM3AX,27,1995-01-01,
OM4XX,28,1995-01-01,
OM3CU,29,1995-01-01,
OM3CCT,30,1995-01-01,
OM3TDZ,31,1995-01-01,
OM8RA,32,1995-01-01,
OM3TWA,33,1995-01-01,
OM3LU,34,1995-01-01,
OM3GB,35,1995-01-01,
OM7MV,36,1995-01-01,
OM3AI,37,1995-01-01,
OM2SS,38,1995-01-01,
OM3EW,39,1995-01-01,
OM3TC,40,1995-01-01,
OM3LO,41,1995-01-01,
OM3TPL,42,1995-01-01,
OM4JD,43,1995-01-01,
OM3CDN,44,1995-01-01,
OM1AF,45,1995-01-01,
OM3IQ,46,1995-01-01,
OM3JS,47,1995-01-01,
OM3CO,48,1995-01-01,
OM8ZZ,49,1995-01-01,
OM3CCA,50,1995-01-01,
OM7VF,51,1995-01-01,
OM7AB,52,1995-01-01,
OM7CB,53,1995-01-01,
OM7HJ,54,1995-01-01,
OM3EK,55,1995-01-01,
OM8ON,56,1995-01-01,
HB9JAI,57,1995-01-01,
HB9CIH,58,1995-01-01,
OM1TL,59,1995-01-01,
OM5FA,61,1995-01-01,
OM7YE,62,1995-01-01,
OM3CGK,63,1995-01-01,
OK1DCE,64,1995-01-01,
OM3UN,65,1995-01-01,
OM7AC,66,1995-01-01,
OM5MO,67,1995-01-01,
OM2AM,68,1995-01-01,
OM3TBG,70,1995-01-01,
OM3CDR,71,1995-01-01,
OM3YK,72,1995-01-01,
OM3GF,73,1995-01-01,
OM3BT,74,1995-01-01,
DK6TA,75,1995-01-01,
OM2BJ,76,1995-01-01,
OM3CSV,77,1996-01-01,
OM2IV,78,1996-01-01,
OM3JA,79,1996-01-01,
OK1FR,80,1996-01-01,
OM7DT,81,1996-01-01,
OM3YAD,82,1996-01-01,
OM3CG,83,1996-01-01,
OM7GW,84,1996-01-01,
OM6AC,85,1996-01-01,
OM5FT,86,1996-01-01,
OM2LM,87,1996-01-01,
AC2V,88,1996-01-01,
OK1SZ,89,1996-01-01,
OM3CBT,90,1996-01-01,
OM2RL,91,1996-01-01,
OM6TC,92,1996-01-01,
OM3YBM,93,1996-01-01,
OM4MP,94,1996-01-01,
OK1AOU,95,1996-01-01,
OK2HI,96,1996-01-01,
OM7SV,97,1996-01-01,
OM7TQ,98,1996-01-01,
OM2LZ,99,1996-01-01,
OM3DC,100,1996-01-01,
OM5BA,101,1996-01-01,
OM3CFK,102,1996-01-01,
OM3BA,103,1996-01-01,
OM4DU,104,1996-01-01,
OE5BMO,105,1996-01-01,
OM3TB,106,1996-01-01,
YU7YR,107,1996-01-01,
OM5KM,108,1996-01-01,
OM3CD,109,1996-01-01,
OM5LA,110,1996-01-01,
OM3CAF,111,1996-01-01,
OM7MK,112,1996-01-01,
OM3CDK,113,1996-01-01,
OM2AD,114,1996-01-01,
OM3IAG,115,1996-01-01,
OK1KZ,116,1996-01-01,
OK1AWU,117,1996-01-01,
OK2SXX,118,1996-01-01,
OM4PC,119,1996-01-01,
I2MNL,120,1996-01-01,
OM3XI,121,1996-01-01,
OM8AA,122,1996-01-01,
OM3JW,123,1996-01-01,
OM8AM,124,1996-01-01,
OM3NA,125,1996-01-01,
OM3CDP,126,1996-01-01,
OK1AR,127,1996-01-01,
OM3TBW,128,1996-01-01,
OM1ZL,129,1996-01-01,
OM3LF,130,1996-01-01,
OK1DOH,131,1996-01-01,
OK2FH,132,1996-01-01,
OK2OQ,133,1996-01-01,
OM3KV,134,1996-01-01,
OK1ARN,135,1996-01-01,
OK2OU,136,1996-01-01,
OM3ZWA,137,1996-01-01,
OM3TV,138,1996-01-01,
OM2BV,139,1996-01-01,
OK2BXA,140,1996-01-01,
OK2BGA,141,1996-01-01,
OK2QC,142,1996-01-01,
OK2SMI,143,1996-01-01,
OK2EC,144,1996-01-01,
OK2OR,145,1996-01-01,
OK2SWD,146,1996-01-01,
OM4FF,147,1996-01-01,
OK2BH,148,1996-01-01,
HB9CSM,149,1996-01-01,
OM1LG,150,1996-01-01,
OM2SM,152,1996-01-01,
OM3LL,153,1996-01-01,
OM2GA,154,1996-01-01,
OM5GO,155,1996-01-01,
OM4RM,156,1996-01-01,
OM7ET,157,1996-01-01,
OM3LW,158,1996-01-01,
OK1WR,159,1996-01-01,
OK1XW,160,1996-01-01,
OK2BKI,161,1996-01-01,
OK2BHZ,162,1996-01-01,
OM8VL,163,1996-01-01,
OK1ANF,164,1996-01-01,
OK2SFO,165,1996-01-01,
OM5LR,166,1996-01-01,
OK1ACF,167,1996-01-01,
OM5GU,168,1996-01-01,
OK1ADZ,169,1996-01-01,
OK1KT,170,1996-01-01,
OK1DLA,171,1996-01-01,
OK2RT,172,1996-01-01,
OM7AT,173,1996-01-01,
OM3ZAM,174,1996-01-01,
OK1TJ,175,1996-01-01,
OM3CMM,176,1996-01-01,
OM2MJ,177,1996-01-01,
OM3YEI,178,1996-01-01,
OM8KP,179,1996-01-01,
OM3TCF,180,1996-01-01,
OK1TQ,181,1996-01-01,
OK1ANJ,182,1996-01-01,
OK2HST,184,1996-01-01,
OK1AE,185,1996-01-01,
OK1RR,186,1996-01-01,
OM3AG,187,1996-01-01,
OM3THL,188,1996-01-01,
OK1MD,189,1996-01-01,
OK2PCQ,190,1996-01-01,
OK2VGD,191,1996-01-01,
OM3PV,192,1996-01-01,
OK1LV,193,1996-01-01,
SP9ADU,194,1996-01-01,
OM8BQ,195,1996-01-01,
OK2BL,196,1996-01-01,
G5VQ,197,1996-01-01,
OK2XA,198,1996-01-01,
OK2BET,199,1996-01-01,
OK1UT,200,1996-01-01,
OM3EQ,201,1996-01-01,
OM2HH,202,1996-01-01,
OM3HM,203,1996-01-01,
SP8JMA,204,1996-01-01,
OM3VCI,205,1996-01-01,
OM3CFN,206,1996-01-01,
OM8YW,207,1996-01-01,
OM5KP,208,1996-01-01,
OK2MJ,209,1996-01-01,
OM3TSZ,210,1996-01-01,
OK1AUX,211,1996-01-01,
OM3TLE,212,1996-01-01,
AC2T,213,1996-01-01,
OK2PBM,214,1996-01-01,
VA3OK,215,1996-01-01,
OM3JH,216,1997-01-01,
OK2BNG,217,1997-01-01,
DL6FAZ,218,1997-01-01,
OM1CI,219,1997-01-01,
SM4EWP,220,1997-01-01,
OK1DWZ,221,1997-01-01,
OM4NI,222,1997-01-01,
OK1KC,223,1997-01-01,
OM7CF,224,1997-01-01,
OM3CBL,225,1997-01-01,
OM5DP,226,1997-01-01,
OM5FM,227,1997-01-01,
OM5MF,228,1997-01-01,
OM1DA,229,1997-01-01,
OK2WFW,230,1997-01-01,
OM6CH,231,1997-01-01,
OK1AJE,232,1997-01-01,
OK2PCO,233,1997-01-01,
SP5BFW,234,1997-01-01,
OK2BIQ,235,1997-01-01,
SP5BWO,236,1997-01-01,
OM3VDH,237,1997-01-01,
OM5CL,238,1997-01-01,
OM5JG,239,1997-01-01,
OK2LA,240,1997-01-01,
HA2MP,241,1997-01-01,
OK2PBT,242,1997-01-01,
OM7DX,243,1997-01-01,
OM3CCH,244,1997-01-01,
OM5AB,245,1997-01-01,
OM3CHA,246,1997-01-01,
OM1DM,247,1997-01-01,
OM7EW,248,1997-01-01,
VA3COS,249,1997-01-01,
OK1AKJ,250,1997-01-01,
OZ4FF,251,1997-01-01,
OK1IAP,252,1998-01-01,
OM3CHW,253,1998-01-01,
OM3FQ,254,1998-01-01,
9A2LP,255,1998-01-01,
VK4CWS,256,1998-01-01,
DL1YD,257,1998-01-01,
OM3YA,258,1999-01-01,
OK1HJ,259,1999-01-01,
DL3FF,260,1999-01-01,
OM4DA,261,1999-01-01,
OM4LP,262,1999-01-01,
OM3CDZ,263,1999-01-01,
VE3LB,264,1999-01-01,
OM7IR,265,1999-01-01,
OK1BB,266,1999-01-01,
OK2PCY,267,1999-01-01,
HB9BQI,268,1999-01-01,
OM3DM,269,2000-01-01,
OM3CAQ,270,2000-01-01,
OK1VHV,271,2000-01-01,
HB9DBA,272,2001-01-01,
OK2ON,273,1999-01-01,
DL2SUB,274,2001-01-01,
DL9HC,275,2001-01-01,
DK5QZ,276,2001-01-01,
DL4HAJ,277,2001-01-01,
OM3WAG,278,2002-01-01,
DF6UD,279,2002-01-01,
OM7TJ,280,2002-01-01,
DL5KUA,281,2002-01-01,
OM3CFF,282,2002-01-01,
OM3EE,283,2002-01-01,
DL2NAI,284,2003-01-01,
DL2AYJ,285,2003-01-01,
OM3YFT,286,2003-01-01,
OM3MV,287,2003-01-01,
HB9BQW,288,1999-01-01,
PA3MAO,289,2003-01-01,
OM7CA,290,2002-01-01,
OM2QU,291,2003-01-01,
HB9CPS,292,2003-01-01,
OM5NS,293,2004-01-01,
OM1II,294,2004-01-01,
HA3DMF,295,2005-01-01,
OK2PDN,296,2005-01-01,
OK2BMI,297,2005-01-01,
OM3CFR,298,2006-01-01,
OM3TCC,299,2006-01-01,
OM3CV,300,2006-01-01,
DG2BTE,301,2006-01-01,
OM6PG,302,2006-01-01,
OM5CD,303,2007-01-01,
OM6PR,304,2007-01-01,
OM3WOR,305,2007-01-01,
OM2WM,306,2007-01-01,
OM3THX,307,2007-01-01,
OM3TDD,308,2007-01-01,
OM3SEM,309,2007-01-01,
OM8LA,310,2007-01-01,
OM8CD,311,2007-01-01,
G4FDC,312,2007-01-01,
OM3CEA,313,2007-01-01,
OM6RF,314,2007-01-01,
OM8FF,315,2007-01-01,
OM5ZX,316,2007-01-01,
OM0TT,317,2007-01-01,
OM3WAD,318,2008-01-01,
OM8JP,319,2008-01-01,
OM3ZAH,320,2008-01-01,
OM7YC,321,2008-01-01,
OK1MR,322,2008-01-01,
OM3CNF,323,2008-01-01,
OM7RM,324,2008-01-01,
OM7AX,325,2008-01-01,
OM3CA,326,2008-01-01,
OM4ML,327,2008-01-01,
OM7CM,328,2008-01-01,
OK2BUT,329,2008-01-01,
OM3ZAD,330,2008-01-01,
OM6RH,331,2008-01-01,
OM3ZAS,332,2008-01-01,
OK1AS,333,2008-01-01,
DL8UAA,334,2008-01-01,
OM3FZ,335,2008-01-01,
OM3CRG,336,2008-01-01,
OM3TY,337,2008-01-01,
OM4KW,338,2008-01-01,
OM4DX,339,2008-01-01,
OM3UU,340,2008-01-01,
OE3DHS,341,2008-01-01,
OM5LD,342,2009-01-01,
OM3CVV,343,2009-01-01,
OM2JI,344,2009-01-01,
OK1WF,345,2009-01-01,
OM8SL,346,2010-01-01,
OM1TI,347,2010-01-01,
OM3CHO,348,2010-01-01,
OM7SR,349,2010-01-01,
OM5XX,350,2010-01-01,
OM7AXL,351,2010-01-01,
OM5NA,352,2010-01-01,
OM1XQ,353,2011-01-01,
OM3WDB,354,2011-01-01,
OM1CR,355,2011-01-01,
OM4KK,356,2011-01-01,
OM3WAK,357,2011-01-01,
OM2TS,358,2012-01-01,
OM6MV,359,2012-01-01,
OM3WBQ,360,2012-01-01,
OK2JK,361,2012-01-01,
OM3WYB,362,2012-01-01,
OM6KW,363,2012-01-01,
OM0RW,364,2012-01-01,
OM1AJ,365,2013-01-01,
OM3CHY,366,2013-01-01,
OK5AR,367,2013-01-01,
DL2FAR,368,2013-01-01,
EA1AX,369,2014-01-01,
OM8AZ,370,2014-01-01,
OM6AT,371,2014-01-01,
OM8BU,372,2014-01-01,
OM4SX,373,2014-01-01,
OM3WEB,374,2014-01-01,
OM5WW,375,2014-01-01,
OM2LH,376,2014-01-01,
OM3CPW,377,2014-01-01,
YT7EC,378,2014-01-01,
OM7AJK,379,2014-01-01,
OM6WA,380,2014-01-01,
OM6CI,381,2014-01-01,
OM3CFE,382,2015-01-01,
OM5MX,383,2015-01-01,
OM8HG,384,2015-01-01,
OM2SB,385,2015-01-01,
OM7AD,386,2015-01-01,
OM8LD,387,2015-01-01,
OM3RM,388,2015-01-01,
OM6TX,389,2015-01-01,
OM3WVV,390,2016-01-01,
OM2ADP,391,2016-01-01,
SP8MI,392,2016-01-01,
OM7MO,393,2016-01-01,
SP8AQA,394,2016-01-01,
OM3PL,395,2016-01-01,
OM3COE,396,2016-01-01,
OM3CMK,397,2018-01-01,
OM5CM,398,2018-01-01,
OM8ST,399,2019-01-01,
OM1ADM,400,2019-01-01,
OM0LT,401,2019-01-01,
OM0TM,402,2019-01-01,
OM5VS,403,2019-01-01,
OM7AMA,404,2020-01-01,
OM8ABC,405,2022-01-01,
VE3VEE,406,2022-01-01,
OK5MM,407,2022-01-01,
OM5TX,408,2022-01-01,
PY4WAS,409,2023-01-01,
OM1MJ,410,2023-01-01,
OM7TW,411,2023-01-01,
OK1FPG,412,2023-01-01,
OM1ADA,413,2024-01-01,
