# 20260722
callsign,member_id,valid_from,valid_to
AA0YY,86,,
AB5M,90,,
AC4NK,5,,
AD7N,17,,
AE6Z,49,,
AE7I,150,,
AI5BE,12,,
AJ1DM,118,,
AJ6QL,131,,
AK4MT,54,,
CT1BQH,140,,
DD1LD,95,,
DF7TR,71,,
DF7TV,58,,
DJ5CW,121,,
DK3RN,99,,
DL1HR,165,,
DL4KG,145,,
EA6EJ,132,,
F8DGY,123,,
G0POT,105,,
G4BFG,92,,
G4KKU,111,,
G5HOW,101,,
G5NLD,102,,
HK3CQ,135,,
IK0IXI,113,,
IW2OGY,115,,
IZ1ELP,163,,
JA1GZV,129,,
K0VBU,76,,
K1BG,162,,
K1JD,63,,
K1KIG,137,,
K2MZ,83,,
K4FIR,41,,
K4FR,4,,
K4MW,1,,
K5OHY,13,,
K5ZM,120,,
K6AJ,61,,
K6NF,130,,
K6TTA,75,,
K7XH,134,,
K8CES,11,,
K8DK,78,,
K9ID,81,,
K9KJ,100,,
KA1RVM,143,,
KA9S,144,,
KB7RYU,66,,
KC0ZPS,50,,
KC3C,164,,
KD7J,34,,
KD7RT,26,,
KE0M,117,,
KE2FUA,62,,
KE8TBM,36,,
KE8UEX,65,,
KE9BHN,16,,
KF0DQU,153,,
KG5VNQ,24,,
KI5DRY,89,,
KI7QCF,3,,
KJ5CMP,44,,
KK7D,8,,
KK7QAS,45,,
KK9T,158,,
KM7ANM,108,,
KM7COJ,28,,
KN2D,77,,
KN3A,30,,
KO4TFE,21,,
KQ4DUX,37,,
KQ4MHE,122,,
KQ4MVW,64,,
KR4EBK,29,,
KR4FLM,98,,
KR8P,7,,
KT0AA,18,,
KT3X,157,,
KV1I,74,,
KV7V,161,,
KV8X,39,,
M0XCV,124,,
N0IP,148,,
N1BS,138,,
N1CCC,60,,
N1XV,43,,
N2DA,127,,
N2EC,79,,
N2TNN,80,,
N3ADP,114,,
N3JT,73,,
N3VO,87,,
N4EWD,59,,
N4GO,40,,
N4LSJ,82,,
N4RLD,110,,
N4TTU,139,,
N5XR,151,,
N6HI,70,,
N6RUN,25,,
N7BUH,107,,
N7CQR,94,,
N7JI,166,,
N8JMS,69,,
N9FZ,32,,
N9HO,14,,
N9SS,156,,
NA4A,155,,
NA7DO,19,,
NB5E,116,,
ND4K,42,,
NE5A,72,,
NN3E,52,,
NN6G,133,,
NQ5A,38,,
NQ8J,84,,
NR4A,51,,
NU1D,68,,
OE3KME,104,,
VA3EKR,109,,
VA4ADM,27,,
VE1EM,22,,
VE7OSH,93,,
VE7SRF,33,,
VK3JFR,147,,
VK3OU,159,,
W0CCA,103,,
W1VES,57,,
W1WC,35,,
W1ZL,96,,
W2DON,85,,
W2OZB,56,,
W4DHW,97,,
W4SV,142,,
W4YDL,141,,
W5RZ,53,,
W6JY,10,,
W6PUG,15,,
W6ZBA,125,,
W7LHT,31,,
W7RF,149,,
W8CS,154,,
W9RNY,106,,
WA6RSV,126,,
WA9CW,88,,
WB0GKH,112,,
WB0RLJ,46,,
WB4AQL,67,,
WB4IT,47,,
WB4SPB,152,,
WD4DAN,146,,
WD5JR,23,,
WE5J,55,,
WI5D,6,,
WI7M,9,,
WJ0C,48,,
WN7JT,2,,
WU7F,136,,
WZ2J,128,,
XE1AY,91,,
ZA1RR,119,,
