# 20251117
callsign,member_id,valid_from,valid_to
DL8PG,167,,
DJ9TQ,39,,
VE3MS,117,,
PA160HZ,15,,
PA5V,15,,
PB65HSC,15,,
PA60VHSC,15,,
PI4VHC,15,,
OQ3R,85,,
TO3F,85,,
ON4RU,85,,
DK1WU,159,,
I6BQI,120,,
DK5KE,12,,
OK1RR,130,,
I7BNX,104,,
DK4AN,17,,
HA3NU,60,,
HG3R,60,,
I7ALE,166,,
9A2DX,83,,
DF2ZX,83,,
DF4KV,8,,
YU1EA,51,,
YT8A,51,,
DK2ZO,13,,
RA6AR,43,,
WN1R,43,,
ON5GK,4,,
DF3KT,40,,
SP9DBA,97,,
OE1FEU,10,,
DF5JT,10,,
DL2FAK,11,,
DJ1FE,14,,
ON7VU,3,,
DF5UL,41,,
G4ILW,70,,
DF9TF,21,,
PY1BVY,105,,
OH7JR,114,,
PR7PO,86,,
DL9BAI,24,,
DK2GZ,50,,
DL4KG,103,,
LB1GB,53,,
OE5MSM,57,,
ON7GO,18,,
OE7RKH,62,,
LZ2RS,35,,
DK9FE,67,,
DF7VY,27,,
DL2KBH,23,,
F2CW,54,,
ZL3CW,54,,
FW5N,54,,
ZL25NZ,54,,
ZM1A,54,,
FW2CW,54,,
DL4FDM,30,,
HB9CSA,30,,
UR7FM,45,,
9A7WW,181,,
YI9DX,181,,
KB3WVX,181,,
6O3A,181,,
J28AA,181,,
4O7DR,181,,
E70A,181,,
OZ2JV,36,,
ON4IM,7,,
F6IFY,34,,
OE1WOW,46,,
PA3BWK,29,,
DL5ZAS,42,,
DL6MAA,48,,
F5VV,170,,
YU1VT,65,,
F6IRF,63,,
F3CW,71,,
OH1LA,49,,
OH2HEX,49,,
YU1KT,76,,
HA1XH,66,,
HA7UL,127,,
DL8HAR,69,,
ON9EEE,52,,
OU0POLIO,52,,
5Q0T,52,,
HA8MT,52,,
UT0FT,113,,
UW2F,113,,
DL4CF,115,,
GM4CFA,115,,
G4CFA,115,,
HA1XJ,73,,
Z32ZM,64,,
Z68MA,64,,
F6FLF,171,,
OH2BMD,74,,
LA5DW,68,,
S51M,148,,
SM4OTI,79,,
E71A,122,,
S50T,82,,
EA7WA,77,,
EA4KA,80,,
DK4XL,81,,
DL2CC,92,,
DL5EBE,125,,
R4BE,125,,
DF4PA,121,,
DF1LX,146,,
G3VMW,90,,
DL9MDW,109,,
N9MDW,109,,
VE3CRG,99,,
G0AYN,95,,
F6IIE,116,,
OU5E,185,,
OZ8CW,185,,
OZ60VHSC,185,,
OZ1JHM,185,,
DF4SA,111,,
UR3LC,110,,
OH6NTO,107,,
SP3LPR,176,,
SP60VHSC,176,,
EA4MC,151,,
W6ZBA,118,,
CT1BQH,138,,
I2QIL,144,,
IK6BAK,136,,
DL6HCO,141,,
I1QOD,155,,
JT1FCY,155,,
ER1CW,128,,
DL3KDH,131,,
RX6FJ,132,,
DL8OAM,134,,
RA4WB,133,,
LZ1JZ,145,,
OH4LYX,137,,
OH4X,137,,
OH6LBW,139,,
Z35M,140,,
4O4A,154,,
IK1EZC,165,,
DL8LBK,158,,
DJ5CW,157,,
WB6LQR,157,,
SO5CW,157,,
IT9ULN,161,,
YT7AW,160,,
SA7DXR,160,,
M0GMT,164,,
DJ4GX,192,,
IZ4AGI,174,,
HB9FIR,163,,
IK0XCB,163,,
IK0YGJ,169,,
W0VTT,200,,
KV1I,173,,
DL4UNY,180,,
EA3M,198,,
DL7CS,172,,
IK0IXI,175,,
W3IX,175,,
DL8JJ,179,,
LZ2EN,179,,
IS0AFM,177,,
OE5FIN,184,,
F8GNV,197,,
IN3EBZ,190,,
SQ6JAN,186,,
F8DGY,196,,
I8QFK,193,,
IZ2MGN,194,,
IU0HMB,191,,
IZ8VKW,195,,
IK5VLL,183,,
EA6EJ,199,,
YU1RL,38,,
PT2/YU1RL,38,,
4L5A,31,,
IK4VFD,178,,
IZ4RTE,182,,
ON5LU,5,,
UA3AO,6,,
G4ENV,25,,
DE1HSC,28,,
DE0AAA,33,,
DE2CWM,44,,
I8SOU,156,,
IK6IHM,189,,
