# 20250101
callsign,member_id,valid_from,valid_to
KC9ECI,1,,
KI4CIA,2C,,
N6WK/SK,3S,,
W8CBC,4,,
KB5WX,5,,
K0EWS,6,,
AD4MG,7,,
N8CPA,8,,
AD5QB,9C,,
W5IEI,10,,
KK7NF,11T,,
WD5ABC,12,,
KF0RT,13,,
AE9LL,14,,
WO0W,15,,
WZ9I,16,,
NE1OB,17,,
KF4TAP,18,,
W5COV,19,,
N2FQ,20,,
WA5HDL,21,,
WU7R,22T,,
W1EOF,23,,
WA4KUP,24T,,
VE7MST,25,,
WA7WW,26C,,
KM0Y/SK,27,,
K2CG,28,,
W0JRM,29,,
AD7GR,30T,,
W0TUP,31T,,
AB4PP,32S,,
K3ESP,33,,
K6AEC,34,,
W4JKL,35,,
NN8B,36T,,
N0PL,37,,
K4AQ,38,,
K4KJS,39,,
KX4OM,40,,
N5ESE,41,,
AK9N,42,,
WA6ARA,43,,
K8EJU,44,,
AA7DX,45,,
WB5EKU,46,,
KB5ZGU,47,,
N5DWI,48,,
W2LJ,49C,,
VE3FAL,50C,,
W1FWB,51,,
K3NGN,52,,
WA2LKV,53T,,
K9EW,54,,
KC6DFA,55,,
KI4LWY,56,,
N5BO,57T,,
W5PJW,58T,,
VE4EE,59,,
AB7OC,60,,
N7RJD,61,,
AB8FJ,62T,,
W7KXB,63,,
W6KIP,64,,
KT4VK,65,,
W0RTK/SK,66,,
VA3GH,67,,
WB6TNL,68,,
KC1FB,69,,
AA3UR,70,,
WA5NQR,71,,
KC7U,72,,
KF8RM,73,,
KA0IQT/SK,74,,
VE3JC,75,,
AA6KI,76,,
K7PM,77,,
WS4S,78,,
I5SKK,79,,
W9JDH,80T,,
W4BWS,81T,,
VE7CFG,82,,
WB9HFK,83S,,
K5JHP/SK,84,,
W5RST,85T,,
KE6US,86,,
WC7S,87,,
KD6APM,88,,
WW5RC,89,,
W7IB,90,,
VE1DY,91,,
K1TES,92,,
W9YA,93,,
W0HXL,94T,,
N5WBI,95,,
AL7V,96,,
KC5INU,97,,
K0UB,98,,
AG4NY,99,,
W4ROT,100,,
KF4JG,101,,
WZ2T,102,,
W5ALT,103S,,
AF2CW,104,,
N2NFG,105,,
AC7YE,106,,
G4UUV,107,,
K4WX,108,,
W9TRB,109,,
AA5TB,110,,
AL2I,111,,
K7MW,112,,
WA4IVS,113,,
WD8ISB,114,,
K9CW,115,,
N3JV,116,,
K6RPN,117,,
K8PG,118T,,
K0EMC,119,,
VE3WMB,120C,,
AB3CV,121,,
SM7BUA,122T,,
N0NBD/SK,123S,,
KC6AQN,124,,
KB0BIW,125,,
KD7TDC,126,,
KB4AAC,127,,
N4HQW,128,,
LU6EBA,129,,
LU3EAQ,130,,
W4KPG,131,,
K4RLC,132,,
KI4FW,133,,
K4KWM,134,,
N1EP,135,,
EA3RE,136,,
W4NBO,137T,,
LW2DX,138,,
W3YX,139T,,
KB2KNX,140,,
KC2NLF,141C,,
WN3USA,142,,
K4ROK,143,,
W1SK,144,,
K8ZCT,145,,
W2KG,146,,
WB4MED,147,,
KG4NNN/SK,148,,
WB2TQC,149S,,
WB4MDX,150,,
K4DXV,151,,
W9GOD,152,,
K8ARL,153,,
N4VA,154,,
KG4NBI,155,,
W4GPW,156,,
K8SA,157,,
N1LWK,158,,
EA7EGU,159T,,
OA4DX,160T,,
KB7UXE,161,,
N4EU,162,,
K0FL,163S,,
NF1O,164S,,
V31YB,165,,
WA6OCP,166,,
KD7ZVI,167,,
KS4XN,168,,
KG4EFR,169,,
AL7JK,170C,,
EA4DAT,171,,
K6HL,172,,
KC0CGR,173,,
N8FF,174,,
W2LDP,175,,
W4HLN,176,,
WA5VSK,177,,
K8VF,178,,
W5HX,179,,
K4OSO,180T,,
W1JLB,181,,
N9JF,182,,
WB0QQT,183T,,
VE1DX,184,,
K8CPW,185,,
W7CXA,186,,
K4PZ,187,,
WA5KRP,188,,
N7JB,189,,
WB5MEX,190,,
VE7AHA,191T,,
NN6EE,192,,
N4XO,193,,
AD4DX,194,,
W4YD,195,,
K1XS,196,,
K0JL,197,,
K5ICW,198T,,
K1FPV,199,,
K4YMQ,200,,
W0BNE,201S,,
F1EUS/SK,202,,
N2HTT,203T,,
PY3AU,204,,
K7ZYV,205T,,
WA5TCZ/SK,206T,,
K7ZD,207T,,
WD4CBZ,208,,
WD5JLE,209,,
EA4OA,210,,
LU6YCB,211,,
KA4RUR,212T,,
NA0L/SK,213C,,
NR5A/SK,214T,,
AC0H/SK,215,,
WQ5P,216C,,
WB8DD,217S,,
WV1K,218,,
WE2KEY,219C,,
KB3GJT,220,,
VK3PA,221,,
W3ZR,222,,
W4OM,223,,
K4CML,224S,,
KI4ITI,225,,
KG4FSN,226C,,
N0PHW/SK,227,,
WQ1C,228T,,
W0EAX,229,,
WA8JNM,230,,
KC0SWH,231,,
W5CCV,232,,
KF8R,233,,
K4HRN,234,,
AA7IR,235,,
KB3DT,236T,,
N5CE,237,,
WY3X,238,,
K7DMB/SK,239T,,
WA6JKH,240,,
NI9Y,241,,
AI4GP,242,,
W0FO,243,,
NG5L,244,,
K4MIK,245,,
WR5TX,246,,
NU6T,247,,
N5VKN,248,,
HK3CQ,249,,
W7ACM,250,,
W5ALJ,251,,
KW6G,252,,
K9ZU,253,,
KC5YDA,254,,
N3JJT,255S,,
KE0N,256S,,
K4HF,257,,
K9PL,258S,,
KD8AMT,259C,,
W9TND,260,,
WA4KSO,261,,
AB2KT,262,,
NC3O,263,,
AA6TZ,264,,
W6SPY,265,,
W0UFC,266T,,
AJ4D,267,,
W8VOM,268,,
KO5V,269,,
K9AAA/SK,270S,,
VE3FME,271,,
W2GB,272,,
W2AU,273,,
VA3AY,274,,
KI4ECX,275,,
KG0PP,276T,,
KD4RA,277,,
KF6PVY,278,,
K6ISS,279,,
WA2FTI,280,,
NA9GW,281T,,
W4DLZ,282,,
KR4JI,283,,
WB9UEZ,284,,
N4RAY,285S,,
KY4Z,286,,
N0SAP,287,,
KI6AIE,288,,
W3BC,289,,
W4DFP,290,,
N5RMA,291,,
NY6P,292C,,
WB6CGJ,293,,
NE9H,294,,
K7JAZ,295,,
AE6SF,296,,
W7RLK,297,,
LW3DYL,298,,
KI4DEF,299T,,
W2LG,300,,
OE1AGB,301,,
KB7VCO,302,,
KC2HTP,303,,
AB8UP,304,,
AE8K,305,,
K7SU,306,,
N2EY,307,,
K8NL,308,,
K2SSE,309,,
KN2GSJ,310,,
K4DPC,311,,
N8IE,312,,
HB9HSX,313,,
N4LS,314,,
K7CIE,315,,
W6ETP,316,,
WB9LPU,317,,
N5VT,318,,
AK2Z,319,,
WA1ABI,320,,
AB2BJ,321T,,
WI1X,322,,
N7COA/SK,323,,
N4FI,324T,,
WQ9Z,325T,,
KI4XH,326,,
KD4WVA,327,,
WA2NDA,328,,
K0RU,329,,
W0TIL,330,,
K5CO,331,,
AD3Y,332,,
K0JQZ,333T,,
K4UFS,334,,
N7QR,335C,,
K8LJG,336T,,
KC9AFN,337C,,
WF6A,338,,
N6JO,339,,
KI6BJV,340,,
KG4HYL,341,,
W4AEJ,342,,
W5VK,343,,
N7TAT,344C,,
AA0CX,345,,
K4PIC,346,,
KJ9M,347T,,
KJ5GT,348,,
AC8XU,349T,,
W9VE,350,,
KG4YLZ,351,,
W8AQ,352,,
N5SZ,353,,
W8MHS,354,,
OZ2AFY,355,,
N3ZPO,356,,
KD0QV,357,,
W0GI,358,,
LW2DCJ,359,,
WU1N,360,,
NT7S,361C,,
KL1UD,362,,
KD4LOW,363,,
WA1NTA,364,,
WA4CAS,365,,
W4DLO,366,,
KE9EX,367,,
KN7T,368T,,
W7FEA,369,,
LU1BW,370,,
WK4X,371,,
AA1MY,372,,
WD4PTJ,373,,
KG4BQQ,374T,,
W5QLF,375T,,
W5HTW,376,,
KC0GGN,377,,
KF4HAY,378,,
W0LMS,379,,
VE3SO,380C,,
WX8O,381,,
K9DY,382,,
W3MZ,383,,
W9XAN,384,,
W2JSN,385,,
N3HJQ,386,,
WB7DJ,387T,,
W3JEN,388,,
W2CZ,389,,
W6BIV,390T,,
VE1YX,391,,
WB3AVD,392C,,
K4NVJ,393T,,
KC0STQ,394,,
AE3J,395,,
N3CJM,396,,
G0MNY,397,,
AD7HD,398,,
KE7FSG,399,,
KD4AWN,400,,
WI4L,401,,
N2KZ,402,,
WF1S,403,,
KE4AH,404,,
VA7CAB,405,,
N5RDN,406T,,
W5NIG,407,,
KZ7P,408,,
K7SDU,409,,
N7YA,410,,
VA1WM,411,,
W8DXF,412,,
W7MEV,413,,
K6BQ,414,,
VA3SIE,415,,
N0AOA,416,,
KB4PYP,417,,
W8NF,418,,
K0NG,419,,
NF4C,420,,
KV8Z,421,,
W8DL,422,,
LU5DIT,423,,
KS4HE,424,,
LU4GL,425,,
K3BDQ,426,,
N5PU,427T,,
N4GX,428,,
K7UPA,429,,
K4JF,430,,
WB9MII,431,,
AC3P/SK,432,,
AC3F,433,,
K4RGR,434,,
W0LGU,435S,,
W4DF/SK,436C,,
K6RFA,437,,
NC4EW,438,,
K5BOT,439,,
K7IE/SK,440,,
W5WN,441,,
KA2SJG,442,,
WA1VIL,443T,,
K7BHM,444,,
W6LFB,445,,
VE7KEY,446,,
K5BZH,447T,,
K0HLA,448,,
W5QQ/SK,449T,,
K4KCS/SK,450,,
WA6ES,451,,
W1OH,452,,
K4DZM,453,,
AB7MP,454S,,
K3JA/SK,455,,
K7JBQ,456,,
AE4QP,457,,
W7YE,458,,
