# 20231009
callsign,member_id,valid_from,valid_to
G3KMQ,21,,
DL6EM,14,,
DJ4KW,3,,
V31YN,3,,
DJ3NW,124,,
PA0LXL,1,,
DJ5AZ,98,,
DJ5ZN,8,,
N9SW,16,,
DL1DTL,34,,
DJ5PA,41,,
LA0CX,258,,
DL7AV,45,,
OH2NN,341,,
OH6VR,341,,
DJ9CB,143,,
DL8PG,392,,
DJ9TQ,105,,
VE3MS,226,,
DK1CU,51,,
PA160HZ,84,,
PB65HSC,84,,
PA60VHSC,84,,
PA5V,84,,
OH2EA,259,,
OH2BDP,259,,
DL2KM,49,,
SP6BLV,156,,
OQ3R,184,,
TO3F,184,,
ON4RU,184,,
S53V,53,,
DK1WU,363,,
9A2PG,50,,
HB9CVQ,394,,
DK2VQ,394,,
OE5OEL,253,,
DK4YF,269,,
I6BQI,235,,
DK5KE,57,,
A45XR,159,,
A450XR,159,,
SP5EXA,159,,
OK1RR,61,,
I6MAT,97,,
HA8UT,83,,
HG8Z,83,,
OK8AMN,83,,
DM2DZM,71,,
I7BNX,238,,
DK4AN,77,,
SP2BMX,402,,
HA3NU,165,,
HG3R,165,,
I7ALE,242,,
DL5MX,305,,
DF5QG,418,,
DK4LX,64,,
AC4RO,64,,
DK5CI,85,,
9A2DX,62,,
DF2ZX,62,,
DK9OY,88,,
DF4KV,80,,
OE1TKW,66,,
OE50TKW,66,,
N0XW,66,,
YU1EA,70,,
YT8A,70,,
DK2ZO,87,,
RA6AR,94,,
WN1R,94,,
DK8LG,288,,
DF3KT,142,,
SM3EVR,75,,
SP9DBA,219,,
OE1FEU,74,,
DF5JT,74,,
VK2IA,212,,
DL1VJ,212,,
DJ6ZM,79,,
DK5JI,119,,
AA0RM,119,,
DK8IT,188,,
DL2FAK,72,,
G4JTC,243,,
ZB2EO,243,,
DF4PD,239,,
OH6DC,224,,
DL5JQ,101,,
ON7VU,109,,
DK8AH,279,,
DJ5XQ,104,,
PA0INA,92,,
PH60VHSC,92,,
G4ILW,160,,
DF9TF,107,,
DL1BAV,90,,
PY1BVY,208,,
OH7JR,276,,
DF3MI,139,,
PR7PO,192,,
DL9BAI,95,,
DK2GZ,112,,
F6DUR,133,,
DL4KG,228,,
DL3NAA,186,,
LB1GB,134,,
OE5MSM,103,,
ON7GO,96,,
DL5CL,272,,
DL6FBL,141,,
LZ2JE,304,,
LZ70HSC,304,,
OE7RKH,126,,
IK2RMZ,163,,
DL1GBZ,163,,
DL3BU,137,,
9A8A,181,,
LZ2RS,125,,
DK9FE,145,,
DF7VY,113,,
DL2KBH,118,,
DL8KAZ,151,,
F2CW,158,,
ZL25NZ,158,,
ZM1A,158,,
ZL3CW,158,,
DL4FDM,120,,
HB9CSA,120,,
UR7FM,110,,
9A7WW,173,,
YI9DX,173,,
KB3WVX,173,,
6O3A,173,,
J28AA,173,,
4O7DR,173,,
E70A,173,,
DL5XX,129,,
9A8W,131,,
DL5MBO,135,,
DL2BAB,130,,
OZ2JV,117,,
F6IFY,136,,
OE1WOW,146,,
PA3BWK,121,,
DL5ZAS,144,,
DL6MAA,132,,
F5VV,386,,
F5TO,414,,
PA5XM,245,,
YU1VT,167,,
JH2QFI,154,,
DL3HAH,157,,
F6IRF,161,,
F3CW,153,,
DM5EE,183,,
ZR2A,183,,
KK8I,183,,
DL2LE,247,,
OH1LA,155,,
OH2HEX,155,,
YU1KT,176,,
HA1XH,172,,
HA7UL,300,,
DL8HAR,180,,
ON9EEE,169,,
OU0POLIO,169,,
5Q0T,169,,
HA8MT,169,,
PA4A,246,,
S52AM,191,,
UT0FT,206,,
UW2F,206,,
DL4CF,285,,
M0HVM,285,,
E73A,240,,
5B4ADA,240,,
9A3A,240,,
DL3RAH,222,,
OH2BJ,205,,
HA1XJ,177,,
OZ1III,194,,
Z32ZM,179,,
Z68MA,179,,
E74GD,178,,
DL3XO,348,,
F6FLF,248,,
DL6BBE,265,,
OH2BMD,193,,
HA6OI,185,,
LX1WW,237,,
LA5DW,187,,
S51M,306,,
DL3MCO,255,,
CT1JGA,255,,
OZ1KHZ,190,,
OZ0N,190,,
SM4OTI,189,,
E71A,232,,
OH4YR,346,,
S50T,197,,
LA6YEA,217,,
E78AV,199,,
YT4EA,199,,
VA3AAX,199,,
VE3VCT,199,,
DL9FC,397,,
RN3W,273,,
EA7WA,201,,
GM3JKS,198,,
HA3HO,297,,
EA4KA,210,,
DK4XL,207,,
DL2CC,209,,
DL5EBE,292,,
R4BE,292,,
DF4PA,231,,
IK1BAE,263,,
DK6OK,261,,
DF1LX,260,,
G3VMW,229,,
DL9MDW,257,,
N9MDW,257,,
DF7TH,307,,
VE3CRG,241,,
F6IIE,252,,
DF2KU,264,,
OU5E,421,,
OZ8CW,421,,
OZ60VHSC,421,,
OZ1JHM,421,,
F5VGR,425,,
HA3OU,289,,
DF4SA,254,,
UR3LC,266,,
OH6NTO,256,,
SP3LPR,389,,
SP60VHSC,389,,
UA1CGS,358,,
HA8PG,268,,
EA4MC,286,,
W6ZBA,271,,
HA1AG,295,,
PA1AG,295,,
DL2HRF,296,,
DL9RDL,291,,
DL1EFD,354,,
G0SYP,354,,
G4BJM,275,,
RA1AOM,290,,
4K9W,293,,
4K100W,293,,
UA3QAM,325,,
CT1BQH,280,,
I2QIL,329,,
IK6BAK,283,,
GM4EVS,331,,
DF3VM,302,,
VE7FNP,294,,
DL6HCO,330,,
OZ8SW,328,,
IT9TQH,299,,
I1QOD,360,,
JT1FCY,360,,
GW0FJT,303,,
G0FJT,303,,
ER1CW,310,,
S57WJ,324,,
YU7WJ,324,,
HA3HK,311,,
DL3KDH,316,,
TA2DA,309,,
RX6FJ,320,,
DL1IAO,333,,
SM9A,333,,
SA3CWW,333,,
DL8OAM,323,,
PA4CW,344,,
DF4TS,340,,
LZ3RM,339,,
9A4M,343,,
OE8CWG,337,,
OK1RP,315,,
M0SIS,315,,
9A3SM,351,,
LZ1JZ,338,,
ON4AXV,345,,
OH4LYX,336,,
OH4X,336,,
OH6LBW,335,,
Z35M,342,,
Z32TO,359,,
4O4A,350,,
BX2AC,355,,
DL1BUG,365,,
IK1EZC,361,,
DF4BV,379,,
S57NW,369,,
I0GOJ,377,,
DL8LBK,366,,
DJ5CW,371,,
WB6LQR,371,,
SO5CW,371,,
IT9ULN,370,,
DL3AZ,410,,
DL8KAC,382,,
PA1CW,373,,
KA1CW,373,,
IK5ZQB,384,,
I3JSS,374,,
DL6LBI,380,,
YT7AW,378,,
SA7DXR,378,,
EA7VK,376,,
M0GMT,383,,
DJ4GX,388,,
IZ4AGI,401,,
DL1YGH,391,,
OM2NW,385,,
HB9FIR,413,,
IK0XCB,413,,
K1JD,408,,
IK0YGJ,393,,
W0VTT,399,,
KV1I,396,,
DL4UNY,417,,
EA3M,395,,
DL7CS,398,,
DL4IA,412,,
DF4HI,436,,
IK0IXI,403,,
W3IX,403,,
DL8JJ,407,,
LZ2EN,407,,
IS0AFM,406,,
OE5FIN,416,,
F8GNV,424,,
IN3EBZ,415,,
NN7CW,420,,
OZ2A,422,,
5Q2A,422,,
OV2QRP,422,,
F6GWL,430,,
OE6RDD,423,,
SQ6JAN,426,,
F8DGY,429,,
I8QFK,431,,
IZ2MGN,433,,
IZ8NXG,434,,
IU0HMB,432,,
IZ8VKW,435,,
IK5VLL,419,,
N2KS,27,,
HA5HO,65,,
W7/HA5HO,65,,
YU1RL,100,,
PT2/YU1RL,100,,
4L5A,116,,
SP9BDH,204,,
WP4F,216,,
YT1AA,267,,
YT4A,267,,
YB2BNJ,274,,
IK2ODE,318,,
G4FNL,332,,
PA4AO,349,,
E76A,349,,
F8CFK,372,,
4O3A,390,,
IK4VFD,405,,
IZ4RTE,411,,
SM0OEK,427,,
SM9X,427,,
F5TPF,428,,
